Hz,Magnitude
7.8125,0.000630802
15.625,0.000177867
23.4375,5.36196e-05
31.25,0.000229848
39.0625,0.000353954
46.875,0.000111162
54.6875,-0.000511876
62.5,-0.00132158
70.3125,-0.00180271
78.125,-0.00172537
85.9375,-0.000989886
93.75,7.78381e-05
101.562,0.000959931
109.375,0.00139922
117.188,0.00123281
125,0.000755986
132.812,0.000382133
140.625,0.00030431
148.438,0.000503956
156.25,0.00067224
164.062,0.00052844
171.875,-8.52974e-05
179.688,-0.000988229
187.5,-0.00172343
195.312,-0.00191599
203.125,-0.00142816
210.938,-0.000496782
218.75,0.000439425
226.562,0.00103314
234.375,0.00105644
242.188,0.00074751
250,0.000442021
257.812,0.000418935
265.625,0.00070341
273.438,0.000961791
281.25,0.000953186
289.062,0.000388566
296.875,-0.000533816
304.688,-0.00145159
312.5,-0.00191309
320.312,-0.00171943
328.125,-0.000957405
335.938,-4.16688e-05
343.75,0.000598102
351.562,0.000748834
359.375,0.000576185
367.188,0.000343669
375,0.000370418
382.812,0.000721559
390.625,0.00118671
398.438,0.00130603
406.25,0.000935122
414.062,8.11016e-06
421.875,-0.00103573
429.688,-0.00174413
437.5,-0.00181701
445.312,-0.0013088
453.125,-0.000518461
460.938,0.000165446
468.75,0.000409436
476.562,0.000310601
484.375,0.000145836
492.188,0.000224815
500,0.000627925
507.812,0.0012188
515.625,0.00155241
523.438,0.00139473
531.25,0.000594466
539.062,-0.000473178
546.875,-0.00136848
554.688,-0.00174879
562.5,-0.00145917
570.312,-0.00083888
578.125,-0.000225488
585.938,9.06765e-05
593.75,2.00041e-05
601.562,-0.000156592
609.375,-0.000100773
617.188,0.000362797
625,0.00106887
632.812,0.00166703
640.625,0.0017384
648.438,0.00113949
656.25,0.000127951
664.062,-0.000859551
671.875,-0.00144168
679.688,-0.00145345
687.5,-0.000985012
695.312,-0.00046578
703.125,-0.000216735
710.938,-0.000293462
718.75,-0.000466593
726.562,-0.000456669
734.375,-2.70647e-06
742.188,0.000765921
750,0.00156487
757.812,0.00189106
765.625,0.00157795
773.438,0.000700863
781.25,-0.000310379
789.062,-0.00105656
796.875,-0.00122398
804.688,-0.000954067
812.5,-0.00055645
820.312,-0.00034301
828.125,-0.00047604
835.938,-0.000746945
843.75,-0.00084759
851.562,-0.000494154
859.375,0.000311091
867.188,0.00125085
875,0.00186708
882.812,0.00183876
890.625,0.0011976
898.438,0.000219932
906.25,-0.000576351
914.062,-0.000913178
921.875,-0.000792845
929.688,-0.000502311
937.5,-0.000389727
945.312,-0.000558581
953.125,-0.000929657
960.938,-0.0011907
968.75,-0.000951318
976.562,-0.000206415
984.375,0.000821333
992.188,0.00165226
1000,0.00190021
1007.81,0.00152633
1015.62,0.000695044
1023.44,-0.000116899
1031.25,-0.000543322
1039.06,-0.000557686
1046.88,-0.000329058
1054.69,-0.000257193
1062.5,-0.000477951
1070.31,-0.000984175
1078.12,-0.00138349
1085.94,-0.00137088
1093.75,-0.000749132
1101.56,0.000247169
1109.38,0.00126506
1117.19,0.00179581
1125,0.00167486
1132.81,0.00105539
1140.62,0.000311868
1148.44,-0.000175531
1156.25,-0.00024677
1164.06,-5.57549e-05
1171.88,-4.39594e-07
1179.69,-0.000271825
1187.5,-0.000858787
1195.31,-0.0014599
1203.12,-0.00168603
1210.94,-0.00129614
1218.75,-0.000344545
1226.56,0.000710463
1234.38,0.00146604
1242.19,0.00161433
1250,0.0012172
1257.81,0.000601919
1265.62,0.000164311
1273.44,7.80877e-05
1281.25,0.000225727
1289.06,0.000332773
1296.88,6.16201e-05
1304.69,-0.000568762
1312.5,-0.00133643
1320.31,-0.00182697
1328.12,-0.00166981
1335.94,-0.000908029
1343.75,0.000149796
1351.56,0.00103153
1359.38,0.00140404
1367.19,0.00120534
1375,0.000751427
1382.81,0.000381392
1390.62,0.000328245
1398.44,0.000512589
1406.25,0.000697909
1414.06,0.000498945
1421.88,-0.00014501
1429.69,-0.00103626
1437.5,-0.00175035
1445.31,-0.00189532
1453.12,-0.00138672
1460.94,-0.000425183
1468.75,0.000495484
1476.56,0.00102629
1484.38,0.00104204
1492.19,0.000723687
1500,0.000442988
1507.81,0.000444569
1515.62,0.000690959
1523.44,0.00100823
1531.25,0.000910201
1539.06,0.000366671
1546.88,-0.000612535
1554.69,-0.00150524
1562.5,-0.00191903
1570.31,-0.00169878
1578.12,-0.000904588
1585.94,-4.2975e-06
1593.75,0.000604922
1601.56,0.000744233
1609.38,0.000567811
1617.19,0.000331541
1625,0.000392511
1632.81,0.00076252
1640.62,0.00118382
1648.44,0.00129746
1656.25,0.000890534
1664.06,-5.71308e-05
1671.88,-0.00106079
1679.69,-0.00175198
1687.5,-0.00179826
1695.31,-0.00126927
1703.12,-0.000467736
1710.94,0.00018745
1718.75,0.000425637
1726.56,0.000290662
1734.38,0.00013169
1742.19,0.0002449
1750,0.000663092
1757.81,0.00126138
1765.62,0.0015796
1773.44,0.00136484
1781.25,0.00053247
1789.06,-0.000532967
1796.88,-0.00141089
1804.69,-0.00174923
1812.5,-0.00142925
1820.31,-0.00079772
1828.12,-0.00018833
1835.94,6.69188e-05
1843.75,-9.32829e-06
1851.56,-0.000161107
1859.38,-5.40236e-05
1867.19,0.000407415
1875,0.00113224
1882.81,0.00169213
1890.62,0.00170264
1898.44,0.00110201
1906.25,6.78893e-05
1914.06,-0.000926904
1921.88,-0.00147833
1929.69,-0.0014178
1937.5,-0.000968518
1945.31,-0.000424697
1953.12,-0.000210019
1960.94,-0.000298166
1968.75,-0.000486456
1976.56,-0.000453659
1984.38,1.16754e-05
1992.19,0.000829574
