Time,Disturbance,Actuator,Error,RMS_E
0.400255,0.0260099,0,0.0290466,0
0.400505,0.0486225,0,0.0485167,0
0.400755,0.0879997,0,0.0894799,0
0.401005,0.160864,0,0.161085,0
0.401255,0.269416,0,0.272646,0
0.401505,0.39893,0,0.396567,0
0.401755,0.520854,0,0.51831,0
0.402005,0.600836,0,0.6035,0
0.402255,0.609006,0,0.607329,0
0.402505,0.529555,0,0.533621,0
0.402755,0.366469,0,0.363734,0
0.403005,0.143809,0,0.147687,0
0.403255,-0.0997876,0,-0.0947934,0
0.403505,-0.32097,0,-0.320738,0
0.403755,-0.48261,0,-0.479784,0
0.404005,-0.563136,0,-0.562773,0
0.404255,-0.561044,0,-0.565937,0
0.404505,-0.493823,0,-0.498263,0
0.404755,-0.39137,0,-0.396004,0
0.405005,-0.286126,0,-0.290491,0
0.405255,-0.20302,0,-0.20631,0
0.405505,-0.152416,0,-0.147421,0
0.405755,-0.127888,0,-0.131199,0
0.406005,-0.109894,0,-0.113578,0
0.406255,-0.0735204,0,-0.0757762,0
0.406505,0.00153982,0,-0.00210312,0
0.406755,0.122605,0,0.118583,0
0.407005,0.279512,0,0.278762,0
0.407255,0.445872,0,0.441715,0
0.407505,0.585547,0,0.59042,0
0.407755,0.662773,0,0.663346,0
0.408005,0.652589,0,0.652121,0
0.408255,0.54864,0,0.549132,0
0.408505,0.365781,0,0.363047,0
0.408755,0.136752,0,0.132624,0
0.409005,-0.0961766,0,-0.0967212,0
0.409255,-0.292303,0,-0.291129,0
0.409505,-0.42271,-0.00787402,-0.420962,0
0.409755,-0.47701,-0.0551181,-0.479901,0
0.410005,-0.464413,-0.15748,-0.466538,0
0.410255,-0.408973,-0.283465,-0.405564,0
0.410505,-0.340893,-0.401575,-0.336436,0
0.410755,-0.286142,-0.488189,-0.288697,0
0.411005,-0.258151,-0.559055,-0.269207,0
0.411255,-0.253924,-0.622047,-0.270679,0
0.411505,-0.255754,-0.685039,-0.286507,0
0.411755,-0.238052,-0.740157,-0.287176,0
0.412005,-0.176969,-0.771654,-0.251318,0
0.412255,-0.0599452,-0.755906,-0.163401,0
0.412505,0.10831,-0.661417,-0.0213701,0
0.412755,0.304879,-0.480315,0.139197,0
0.413005,0.493705,-0.181102,0.308483,0
0.413255,0.634988,0.244094,0.427277,0
0.413505,0.696076,0.779528,0.474382,0
0.413755,0.66077,1,0.437757,0
0.414005,0.534182,1,0.330868,0
0.414255,0.341566,1,0.178653,0
0.414505,0.121464,1,0.0349952,0
0.414755,-0.0846144,1,-0.08373,0
0.415005,-0.243179,1,-0.144011,0
0.415255,-0.336974,1,-0.13134,0
0.415505,-0.367925,0.826772,-0.0536266,0
0.415755,-0.354554,0.0708661,0.0369193,0
0.416005,-0.324001,-0.629921,0.13084,0
0.416255,-0.302202,-1,0.178614,0
0.416505,-0.304572,-1,0.172843,0
0.416755,-0.330649,-1,0.102992,0
0.417005,-0.364205,-1,-0.024068,0
0.417255,-0.378806,-1,-0.183503,0
0.417506,-0.347209,-1,-0.314581,0
0.417756,-0.251343,-1,-0.399417,0
0.418006,-0.0899145,-1,-0.416398,0
0.418256,0.118878,-1,-0.360109,0
0.418506,0.340936,-1,-0.253114,0
0.418756,0.534293,-1,-0.132713,0
0.419006,0.660431,-0.826772,-0.0334261,0
0.419256,0.694586,-0.338583,0.0254793,0
