Hz,Magnitude
7.8125,0.00198299
15.625,0.00124622
23.4375,-0.000538265
31.25,-0.00237455
39.0625,-0.00307626
46.875,-0.00229226
54.6875,-0.000751165
62.5,0.000415949
70.3125,0.000952848
78.125,0.00123276
85.9375,0.00181491
93.75,0.00237139
101.562,0.00198946
109.375,0.000415712
117.188,-0.00167206
125,-0.00291626
132.812,-0.00264547
140.625,-0.00146699
148.438,-0.000362717
156.25,0.000216031
164.062,0.000733054
171.875,0.00161567
179.688,0.00257547
187.5,0.00271822
195.312,0.00144448
203.125,-0.000669316
210.938,-0.00232466
218.75,-0.00265464
226.562,-0.00190691
234.375,-0.0010984
242.188,-0.000624149
250,-0.000112415
257.812,0.000954718
265.625,0.00234673
273.438,0.00301062
281.25,0.00226491
289.062,0.000329205
296.875,-0.00149814
304.688,-0.00223838
312.5,-0.00194821
320.312,-0.00146971
328.125,-0.00123083
335.938,-0.00087548
343.75,0.000187877
351.562,0.00180198
359.375,0.00300187
367.188,0.00275533
375,0.00116257
382.812,-0.000686015
390.625,-0.00168843
398.438,-0.00180903
406.25,-0.0016159
414.062,-0.00170651
421.875,-0.00161637
429.688,-0.000644199
437.5,0.00117902
445.312,0.00280714
453.125,0.00313092
460.938,0.00200884
468.75,0.00028697
476.562,-0.000900598
484.375,-0.00130602
492.188,-0.00149876
500,-0.00196003
507.812,-0.00225578
515.625,-0.0016334
523.438,0.000173891
531.25,0.00212777
539.062,0.00303567
546.875,0.00244735
554.688,0.00105541
562.5,-3.73165e-05
570.312,-0.000593189
578.125,-0.00102292
585.938,-0.00175606
593.75,-0.00249122
601.562,-0.00229278
609.375,-0.00075927
617.188,0.0013492
625,0.00266902
632.812,0.00258167
640.625,0.0015743
648.438,0.000609935
656.25,0.000100169
664.062,-0.000414639
671.875,-0.001426
679.688,-0.00258223
687.5,-0.00281983
695.312,-0.001612
703.125,0.00046657
710.938,0.00211533
718.75,0.00251279
726.562,0.00191759
734.375,0.00127034
742.188,0.000886325
750,0.000375177
757.812,-0.000835605
765.625,-0.00235537
773.438,-0.00315016
781.25,-0.00240755
789.062,-0.00054135
796.875,0.00127756
804.688,0.00204358
812.5,0.00188154
820.312,0.00160834
828.125,0.00154146
835.938,0.0012339
843.75,4.7294e-05
851.562,-0.00174068
859.375,-0.0030111
867.188,-0.00281386
875,-0.00129293
882.812,0.000432956
890.625,0.00140627
898.438,0.00153778
906.25,0.00157943
914.062,0.00185051
921.875,0.00183936
929.688,0.000811039
937.5,-0.0011117
945.312,-0.00275345
953.125,-0.00304902
960.938,-0.00195392
968.75,-0.00035948
976.562,0.000682319
984.375,0.00110212
992.188,0.0014534
1000,0.00206671
1007.81,0.00246631
1015.62,0.00172142
1023.44,-0.000171713
1031.25,-0.00214648
1039.06,-0.00299735
1046.88,-0.00237886
1054.69,-0.00115616
1062.5,-0.000195781
1070.31,0.000279651
1078.12,0.000883655
1085.94,0.0018623
1093.75,0.00270321
1101.56,0.00239743
1109.38,0.000774203
1117.19,-0.00131157
1125,-0.00251961
1132.81,-0.00236278
1140.62,-0.00149695
1148.44,-0.000802456
1156.25,-0.000401801
1164.06,0.000268237
1171.88,0.00146821
1179.69,0.00268116
1187.5,0.00284425
1195.31,0.00150726
1203.12,-0.000566996
1210.94,-0.00206723
1218.75,-0.00230171
1226.56,-0.00181575
1234.38,-0.00137017
1242.19,-0.00112799
1250,-0.000492279
1257.81,0.000914563
1265.62,0.00253831
1273.44,0.00320883
1281.25,0.00229892
1289.06,0.000431365
1296.88,-0.00119722
1304.69,-0.00178525
1312.5,-0.00169851
1320.31,-0.00167673
1328.12,-0.00177083
1335.94,-0.00137672
1343.75,2.12598e-05
1351.56,0.00189999
1359.38,0.00304625
1367.19,0.00263248
1375,0.00110107
1382.81,-0.000422684
1390.62,-0.00116261
1398.44,-0.00135228
1406.25,-0.00159223
1414.06,-0.00203405
1421.88,-0.00193089
1429.69,-0.000661086
1437.5,0.00135959
1445.31,0.00287484
1453.12,0.00290791
1460.94,0.00171863
1468.75,0.000313244
1476.56,-0.000500586
1484.38,-0.000898521
1492.19,-0.00148994
1500,-0.00231563
1507.81,-0.00261529
1515.62,-0.00164382
1523.44,0.000440602
1531.25,0.00225461
1539.06,0.00283735
1546.88,0.00208112
1554.69,0.0010383
1562.5,0.000384058
1570.31,-8.47242e-05
1578.12,-0.00087379
1585.94,-0.00207643
1593.75,-0.00283846
1601.56,-0.00224733
1609.38,-0.000368646
1617.19,0.00156137
1625,0.00243605
1632.81,0.00210124
1640.62,0.00135818
1648.44,0.000897812
1656.25,0.000555512
1664.06,-0.0003715
1671.88,-0.00180059
1679.69,-0.00295115
1687.5,-0.002758
1695.31,-0.00116334
1703.12,0.000820001
1710.94,0.00199254
1718.75,0.0020566
1726.56,0.00168004
1734.38,0.00153879
1742.19,0.00138117
1750,0.000467108
1757.81,-0.0012034
1765.62,-0.00279345
1773.44,-0.00308693
1781.25,-0.00190054
1789.06,-7.10364e-05
1796.88,0.00118567
1804.69,0.00150996
1812.5,0.00154037
1820.31,0.00174712
1828.12,0.00191678
1835.94,0.00122588
1843.75,-0.000492077
1851.56,-0.00233619
1859.38,-0.00304378
1867.19,-0.00225425
1875,-0.000675387
1882.81,0.000544487
1890.62,0.00102001
1898.44,0.00130907
1906.25,0.00185859
1914.06,0.00235411
1921.88,0.00191154
1929.69,0.000230009
1937.5,-0.00186633
1945.31,-0.00296532
1953.12,-0.00261837
1960.94,-0.00138119
1968.75,-0.000298227
1976.56,0.000257426
1984.38,0.000772343
1992.19,0.0017098
