Time,Disturbance,Actuator,Error,RMS_E
0.400255,0.099639,0,0.102676,0
0.410255,0.0951572,-1,-1.39903,0
0.420256,0.100387,-1,-1.50322,0
0.430256,0.0950242,-1,-0.834826,0
0.440257,0.101135,-1,-1.50343,0
0.450257,0.0948909,-0.0314961,-1.4916,0
0.460258,0.101882,1,1.65052,0
0.470258,0.0947573,1,1.69232,0
0.480258,0.102629,1,0.877654,0
0.490259,0.0946233,1,0.907806,0
0.500259,0.103376,0.204724,0.0520444,0.824913
0.510259,0.0946603,-0.488189,-1.03795,0.824913
0.520258,0.102217,-1,-0.790446,0.824913
0.530257,0.0948677,-0.188976,-0.384802,0.824913
0.540256,0.101058,0.330709,0.615552,0.824913
0.550256,0.0950744,1,0.96806,0.824913
0.560255,0.0998986,0.204724,0.415471,0.824913
0.570254,0.0952805,-0.0472441,-0.567369,0.824913
0.580254,0.098738,-0.787402,-0.771138,0.824913
0.590253,0.0954857,0.496063,0.0378989,0.824913
0.600252,0.0975767,0.125984,0.441722,0.738969
0.610251,0.0956903,0.456693,0.148075,0.738969
0.620251,0.0964147,-0.370079,-0.126525,0.738969
0.63025,0.0958941,0.385827,-0.0324977,0.738969
0.640249,0.095252,-0.228346,-0.000722883,0.738969
0.650248,0.0960973,0.440945,0.0346632,0.738969
0.660248,0.0940886,-0.212598,0.0388561,0.738969
0.670247,0.0962997,0.377953,-0.037965,0.738969
0.680246,0.0929245,-0.228346,0.0257535,0.738969
0.690246,0.0965014,0.385827,-0.0268223,0.738969
0.700245,0.0917596,-0.23622,-0.00570724,0.143
0.710244,0.0967024,0.409449,0.014349,0.143
0.720243,0.0905941,-0.228346,0.00636706,0.143
0.730243,0.0969027,0.417323,0.0304167,0.143
0.740242,0.0894279,-0.251969,-0.0384827,0.143
0.750241,0.0971023,0.409449,0.0187996,0.143
0.76024,0.0882609,-0.244094,-0.00920184,0.143
0.77024,0.0973012,0.393701,-0.0273621,0.143
0.780239,0.0870933,-0.228346,0.0306126,0.143
0.790238,0.0974993,0.417323,0.0158357,0.143
0.800238,0.0859251,-0.228346,0.00198127,0.0200818
0.810237,0.0976968,0.385827,-0.0363477,0.0200818
0.820236,0.0847561,-0.220472,0.0113427,0.0200818
0.830235,0.0978936,0.409449,0.0124623,0.0200818
0.840235,0.0835865,-0.244094,0.000872566,0.0200818
0.850234,0.0980897,0.409449,0.00888518,0.0200818
0.860233,0.0824162,-0.23622,0.00963776,0.0200818
0.870233,0.0982851,0.401575,0.00595545,0.0200818
0.880232,0.0812452,-0.251969,-0.00820574,0.0200818
0.890231,0.0984798,0.417323,0.0206816,0.0200818
0.90023,0.0800736,-0.23622,0.00646397,0.0168523
0.91023,0.0986739,0.401575,0.00234626,0.0168523
0.920229,0.0789014,-0.23622,0.0257983,0.0168523
0.930228,0.0988672,0.393701,-0.00483419,0.0168523
0.940227,0.0777285,-0.244094,-0.0102443,0.0168523
0.950227,0.0990599,0.401575,0.00160025,0.0168523
0.960226,0.0765549,-0.23622,0.00395353,0.0168523
0.970225,0.0992519,0.409449,0.000973675,0.0168523
0.980225,0.0753807,-0.244094,-0.0132537,0.0168523
0.990224,0.0994432,0.401575,-0.000987039,0.0168523
1.00022,0.0742059,-0.220472,0.0233747,0.0105262
1.01022,0.099626,0.393701,-0.00156261,0.0105262
1.02022,0.0730789,-0.244094,-0.00706894,0.0105262
1.03022,0.099816,0.393701,-0.00369898,0.0105262
1.04022,0.0719028,-0.244094,0.0164116,0.0105262
1.05022,0.100005,0.393701,-0.0197863,0.0105262
1.06022,0.0707262,-0.228346,0.0168476,0.0105262
1.07022,0.100194,0.385827,-0.0256663,0.0105262
1.08022,0.0695489,-0.244094,-0.0127204,0.0105262
1.09022,0.100382,0.409449,0.0226693,0.0105262
1.10022,0.0683711,-0.259843,-0.0277438,0.0151011
1.11022,0.100569,0.409449,0.00317952,0.0151011
1.12021,0.0671926,-0.244094,-0.00282874,0.0151011
1.13021,0.100756,0.401575,-0.00377072,0.0151011
1.14021,0.0660136,-0.228346,0.015664,0.0151011
1.15021,0.100942,0.393701,0.0023567,0.0151011
1.16021,0.0648339,-0.23622,0.0127668,0.0151011
1.17021,0.101127,0.401575,-0.00160961,0.0151011
1.18021,0.0636537,-0.251969,0.00862176,0.0151011
1.19021,0.101312,0.385827,-0.0183497,0.0151011
1.20021,0.0624729,-0.23622,0.00436785,0.0123032
1.21021,0.101496,0.385827,-0.0194343,0.0123032
1.22021,0.0612915,-0.23622,0.00877662,0.0123032
1.23021,0.10168,0.409449,0.0196891,0.0123032
1.24021,0.0601096,-0.244094,0.00809162,0.0123032
1.25021,0.101862,0.401575,0.0117301,0.0123032
1.2602,0.0589271,-0.244094,-0.00476909,0.0123032
1.2702,0.102045,0.377953,-0.00729546,0.0123032
1.2802,0.057744,-0.23622,0.0227836,0.0123032
1.2902,0.102226,0.393701,-0.00828338,0.0123032
1.3002,0.0565603,-0.23622,0.0228144,0.0144019
1.3102,0.102407,0.393701,0.00424275,0.0144019
1.3202,0.0553762,-0.244094,0.00306565,0.0144019
1.3302,0.102587,0.401575,0.00518348,0.0144019
1.3402,0.0541914,-0.251969,0.0157989,0.0144019
1.3502,0.102767,0.401575,-0.00728754,0.0144019
1.3602,0.0530062,-0.23622,0.00806519,0.0144019
1.3702,0.102946,0.385827,0.00477814,0.0144019
1.3802,0.0518203,-0.23622,0.0057651,0.0144019
1.39019,0.103124,0.393701,0.000356215,0.0144019
1.40019,0.050634,-0.251969,0.00866477,0.0134604
1.41019,0.103302,0.401575,0.0115989,0.0134604
1.42019,0.0494472,-0.244094,-8.5684e-05,0.0134604
