Idx,Coeff
0,0.0717279
1,0.00868696
2,-0.0180419
3,-0.0212205
4,-0.0140851
5,-0.00540892
6,0.000174322
7,0.00907127
8,0.0195553
9,0.0328046
10,0.0499419
11,0.0649828
12,0.072855
13,0.070631
14,0.0614432
15,0.0454354
16,0.0242
17,0.00421485
18,-0.0136227
19,-0.0233439
20,-0.0233254
21,-0.016935
22,-0.000958844
23,0.0160853
24,0.0256709
25,0.0325099
26,0.0337136
27,0.0320513
28,0.0282802
29,0.0146571
30,-0.00567072
31,-0.0313733
32,-0.0557023
33,-0.0718399
34,-0.0814491
35,-0.0783139
36,-0.0676599
37,-0.0597487
38,-0.0478724
39,-0.0311455
40,-0.0169066
41,-0.00603162
42,-0.000619901
43,5.4752e-05
44,-0.00222874
45,-0.00333776
46,-0.00129336
47,-0.000518151
48,0.00213795
49,0.00363303
50,0.00069105
51,-0.00441572
52,-0.0120318
53,-0.0168766
54,-0.0217218
55,-0.0245421
56,-0.0208833
57,-0.0200118
58,-0.0130463
59,0.00152873
60,0.0150112
61,0.0287665
62,0.0358616
63,0.0331983
