Hz,Magnitude
7.8125,0
15.625,0
23.4375,0
31.25,0
39.0625,0
46.875,0
54.6875,0
62.5,0
70.3125,0
78.125,0
85.9375,0
93.75,0
101.562,0
109.375,0
117.188,0
125,0
132.812,0
140.625,0
148.438,0
156.25,0
164.062,0
171.875,0
179.688,0
187.5,0
195.312,0
203.125,0
210.938,0
218.75,0
226.562,0
234.375,0
242.188,0
250,0
257.812,0
265.625,0
273.438,0
281.25,0
289.062,0
296.875,0
304.688,0
312.5,0
320.312,0
328.125,0
335.938,0
343.75,0
351.562,0
359.375,0
367.188,0
375,0
382.812,0
390.625,0
398.438,0
406.25,0
414.062,0
421.875,0
429.688,0
437.5,0
445.312,0
453.125,0
460.938,0
468.75,0
476.562,0
484.375,0
492.188,0
500,0
507.812,0
515.625,0
523.438,0
531.25,0
539.062,0
546.875,0
554.688,0
562.5,0
570.312,0
578.125,0
585.938,0
593.75,0
601.562,0
609.375,0
617.188,0
625,0
632.812,0
640.625,0
648.438,0
656.25,0
664.062,0
671.875,0
679.688,0
687.5,0
695.312,0
703.125,0
710.938,0
718.75,0
726.562,0
734.375,0
742.188,0
750,0
757.812,0
765.625,0
773.438,0
781.25,0
789.062,0
796.875,0
804.688,0
812.5,0
820.312,0
828.125,0
835.938,0
843.75,0
851.562,0
859.375,0
867.188,0
875,0
882.812,0
890.625,0
898.438,0
906.25,0
914.062,0
921.875,0
929.688,0
937.5,0
945.312,0
953.125,0
960.938,0
968.75,0
976.562,0
984.375,0
992.188,0
1000,0
1007.81,0
1015.62,0
1023.44,0
1031.25,0
1039.06,0
1046.88,0
1054.69,0
1062.5,0
1070.31,0
1078.12,0
1085.94,0
1093.75,0
1101.56,0
1109.38,0
1117.19,0
1125,0
1132.81,0
1140.62,0
1148.44,0
1156.25,0
1164.06,0
1171.88,0
1179.69,0
1187.5,0
1195.31,0
1203.12,0
1210.94,0
1218.75,0
1226.56,0
1234.38,0
1242.19,0
1250,0
1257.81,0
1265.62,0
1273.44,0
1281.25,0
1289.06,0
1296.88,0
1304.69,0
1312.5,0
1320.31,0
1328.12,0
1335.94,0
1343.75,0
1351.56,0
1359.38,0
1367.19,0
1375,0
1382.81,0
1390.62,0
1398.44,0
1406.25,0
1414.06,0
1421.88,0
1429.69,0
1437.5,0
1445.31,0
1453.12,0
1460.94,0
1468.75,0
1476.56,0
1484.38,0
1492.19,0
1500,0
1507.81,0
1515.62,0
1523.44,0
1531.25,0
1539.06,0
1546.88,0
1554.69,0
1562.5,0
1570.31,0
1578.12,0
1585.94,0
1593.75,0
1601.56,0
1609.38,0
1617.19,0
1625,0
1632.81,0
1640.62,0
1648.44,0
1656.25,0
1664.06,0
1671.88,0
1679.69,0
1687.5,0
1695.31,0
1703.12,0
1710.94,0
1718.75,0
1726.56,0
1734.38,0
1742.19,0
1750,0
1757.81,0
1765.62,0
1773.44,0
1781.25,0
1789.06,0
1796.88,0
1804.69,0
1812.5,0
1820.31,0
1828.12,0
1835.94,0
1843.75,0
1851.56,0
1859.38,0
1867.19,0
1875,0
1882.81,0
1890.62,0
1898.44,0
1906.25,0
1914.06,0
1921.88,0
1929.69,0
1937.5,0
1945.31,0
1953.12,0
1960.94,0
1968.75,0
1976.56,0
1984.38,0
1992.19,0
