Hz,Magnitude
7.8125,0.000938415
15.625,0.000859554
23.4375,0.000600376
31.25,0.000939344
39.0625,8.46158e-05
46.875,0.000247308
54.6875,0.000300449
62.5,0.000558903
70.3125,0.000340313
78.125,0.000543
85.9375,0.000356465
93.75,0.000644345
101.562,0.000757911
109.375,0.000557973
117.188,0.000257067
125,0.00375172
132.812,0.0127758
140.625,0.0760798
148.438,0.176843
156.25,0.0884926
164.062,0.0129101
171.875,0.00273684
179.688,0.00329916
187.5,0.00331482
195.312,0.00474637
203.125,0.00387527
210.938,0.00267195
218.75,0.00187174
226.562,0.000974386
234.375,0.000459305
242.188,0.000694182
250,0.00045865
257.812,0.000271731
265.625,0.000456466
273.438,0.000396901
281.25,0.000786057
289.062,0.000596493
296.875,0.00274452
304.688,0.0312579
312.5,0.102463
320.312,0.0795648
328.125,0.00941621
335.938,0.00174046
343.75,0.000784529
351.562,0.000346491
359.375,0.000245613
367.188,0.000181547
375,0.000182664
382.812,1.4901e-05
390.625,4.37081e-05
398.438,0.000228761
406.25,0.000258677
414.062,0.000127722
421.875,0.000106338
429.688,0.000146344
437.5,0.000138162
445.312,0.000281969
453.125,0.000427567
460.938,0.000266031
468.75,0.000103578
476.562,0.000185985
484.375,0.000174702
492.188,1.53417e-05
500,0.000132125
507.812,0.00010772
515.625,0.000114933
523.438,0.000123759
531.25,7.72879e-05
539.062,1.04439e-05
546.875,9.05772e-06
554.688,4.94032e-05
562.5,5.69173e-05
570.312,0.000214218
578.125,0.000123242
585.938,0.000163411
593.75,9.28243e-05
601.562,0.000274827
609.375,0.000182257
617.188,0.000290955
625,0.000263075
632.812,0.000212993
640.625,0.000193675
648.438,0.000105288
656.25,7.85273e-05
664.062,6.88015e-05
671.875,3.75782e-05
679.688,0.000100684
687.5,9.66417e-05
695.312,8.73303e-05
703.125,4.59023e-05
710.938,9.6426e-05
718.75,8.9692e-05
726.562,0.000110017
734.375,0.000124758
742.188,7.55236e-05
750,0.000142519
757.812,0.00017182
765.625,4.81455e-05
773.438,0.000161217
781.25,0.000203147
789.062,0.000244424
796.875,0.000223187
804.688,2.64846e-05
812.5,0.00016492
820.312,5.06087e-05
828.125,0.000106247
835.938,4.28094e-05
843.75,4.19136e-05
851.562,8.73924e-05
859.375,0.000122031
867.188,0.000196419
875,0.000147926
882.812,0.000161891
890.625,0.000236632
898.438,0.000199802
906.25,0.000253479
914.062,0.000117774
921.875,5.1432e-05
929.688,6.457e-05
937.5,0.000121116
945.312,0.00014006
953.125,0.00014059
960.938,0.000230999
968.75,0.000257595
976.562,0.000265734
984.375,0.000265398
992.188,0.000179713
1000,4.56101e-05
1007.81,0.000266592
1015.62,0.000231632
1023.44,8.47047e-05
1031.25,9.16557e-05
1039.06,0.000118023
1046.88,7.83646e-05
1054.69,7.84547e-05
1062.5,4.96806e-05
1070.31,0.000138918
1078.12,0.000136353
1085.94,0.000139555
1093.75,0.000252819
1101.56,0.00026015
1109.38,7.76442e-05
1117.19,7.44847e-05
1125,6.12773e-05
1132.81,9.85111e-05
1140.62,0.000129285
1148.44,0.000109858
1156.25,2.77589e-05
1164.06,9.91138e-05
1171.88,8.63701e-05
1179.69,0.000132481
1187.5,0.00015171
1195.31,0.00014271
1203.12,0.000219914
1210.94,0.000114333
1218.75,0.00019118
1226.56,0.00027143
1234.38,0.000138396
1242.19,2.61154e-05
1250,0.000132253
1257.81,0.000243129
1265.62,8.10548e-05
1273.44,0.000112798
1281.25,0.00018147
1289.06,0.00020152
1296.88,0.000113034
1304.69,0.000104365
1312.5,7.42596e-05
1320.31,4.37984e-05
1328.12,1.4948e-05
1335.94,0.000108907
1343.75,0.000114246
1351.56,4.56521e-06
1359.38,1.81472e-05
1367.19,0.000178819
1375,0.000309057
1382.81,0.000148601
1390.62,2.38333e-05
1398.44,3.49691e-05
1406.25,5.9197e-05
1414.06,0.000108711
1421.88,0.000103543
1429.69,8.03794e-05
1437.5,7.39112e-05
1445.31,0.000130802
1453.12,0.000122712
1460.94,1.25639e-05
1468.75,8.26304e-05
1476.56,0.000174249
1484.38,0.000118043
1492.19,6.96438e-05
1500,6.04444e-05
1507.81,0.000178395
1515.62,0.000316281
1523.44,0.000295255
1531.25,0.000262076
1539.06,0.000183435
1546.88,4.40651e-05
1554.69,8.08207e-05
1562.5,0.000156735
1570.31,2.87689e-05
1578.12,0.000160756
1585.94,0.00012315
1593.75,0.000131764
1601.56,0.000137921
1609.38,5.71897e-05
1617.19,1.08017e-05
1625,0.000130477
1632.81,0.000163376
1640.62,0.000124143
1648.44,0.000129551
1656.25,4.25677e-05
1664.06,8.48684e-05
1671.88,0.000200919
1679.69,0.000122602
1687.5,0.000137936
1695.31,0.000139001
1703.12,4.28572e-05
1710.94,0.000146723
1718.75,0.000162167
1726.56,4.71484e-05
1734.38,0.000122222
1742.19,0.000215917
1750,0.000308205
1757.81,0.000259582
1765.62,4.37899e-05
1773.44,0.000139272
1781.25,0.000212877
1789.06,0.000151288
1796.88,0.00018138
1804.69,0.000314825
1812.5,0.000273621
1820.31,0.000206356
1828.12,0.000141659
1835.94,0.000199549
1843.75,0.00031455
1851.56,0.000167672
1859.38,9.05255e-05
1867.19,0.000131666
1875,0.000128984
1882.81,8.44951e-05
1890.62,9.16959e-05
1898.44,9.13607e-05
1906.25,6.26868e-05
1914.06,9.29358e-05
1921.88,4.37607e-05
1929.69,9.8199e-05
1937.5,7.07091e-05
1945.31,4.17166e-05
1953.12,9.34394e-05
1960.94,7.75003e-05
1968.75,0.000151601
1976.56,7.63055e-05
1984.38,0.000192652
1992.19,0.000188603
