Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.400255,0.105452,0,0.101119,0,0,0
0.400505,0.428587,0,0.426571,0,0,0
0.400755,0.527192,0,0.523149,0,0,0
0.401005,0.422066,0,0.426481,0,0,0
0.401255,0.279545,0,0.282518,0,0,0
0.401505,0.208306,0,0.209356,0,0,0
0.401755,0.180179,0,0.17796,0,0,0
0.402005,0.0974118,0,0.0984505,0,0,0
0.402255,-0.127055,0,-0.131183,0,0,0
0.402505,-0.443728,0,-0.444782,0,0,0
0.402755,-0.662772,0,-0.665439,0,0,0
0.403005,-0.623839,0,-0.628804,0,0,0
0.403255,-0.323274,0,-0.32518,0,0,0
0.403505,0.0700313,0,0.0699599,0,0,0
0.403755,0.355443,0,0.3552,0,0,0
0.404005,0.422767,0,0.424799,0,0,0
0.404255,0.359212,0,0.357412,0,0,0
0.404505,0.290262,0,0.285692,0,0,0
0.404755,0.299904,0,0.295893,0,0,0
0.405005,0.313347,0,0.311457,0,0,0
0.405255,0.198195,0,0.198713,0,0,0
0.405505,-0.103477,0,-0.103321,0,0,0
0.405755,-0.463104,0,-0.466968,0,0,0
0.406005,-0.690976,0,-0.692642,0,0,0
0.406255,-0.624893,0,-0.62524,0,0,0
0.406505,-0.32619,0,-0.322167,0,0,0
0.406755,0.0325609,0,0.0334121,0,0,0
0.407005,0.250931,0,0.248961,0,0,0
0.407255,0.306993,0,0.303912,0,0,0
0.407505,0.289648,0,0.287658,0,0,0
0.407755,0.314988,0,0.318698,0,0,0
0.408005,0.397302,0,0.398207,0,0,0
0.408255,0.432994,0,0.434202,0,0,0
0.408505,0.270501,0,0.27349,0,0,0
0.408755,-0.0826224,0,-0.0817821,0,0,0
0.409005,-0.471856,0,-0.470507,0,0,0
0.409255,-0.674545,0,-0.671068,0,0,0
0.409505,-0.599576,0,-0.601006,0,0,0
0.409755,-0.318332,0,-0.323303,0,0,0
0.410005,-0.0257178,0,-0.0243935,0,0,0
0.410255,0.14067,0,0.140835,0,0,0
0.410505,0.183967,0,0.184579,0,0,0
0.410755,0.220009,0,0.224299,0,0,0
0.411005,0.332152,0,0.334913,0,0,0
0.411255,0.489035,0,0.488195,0,0,0
0.411505,0.528244,0,0.524827,0,0,0
0.411755,0.321339,0,0.317639,0,0,0
0.412005,-0.0622066,0,-0.0599691,0,0,0
0.412255,-0.45913,0,-0.45797,0,0,0
0.412505,-0.637239,0,-0.641307,0,0,0
0.412755,-0.554043,0,-0.556695,0,0,0
0.413005,-0.309717,0,-0.313426,0,0,0
0.413255,-0.0905352,0,-0.0865183,0,0,0
0.413505,0.00962462,0,0.0120537,0,0,0
0.413755,0.0515369,0,0.0540593,0,0,0
0.414005,0.158537,0,0.157321,0,0,0
0.414255,0.364678,0,0.364111,0,0,0
0.414505,0.563886,0,0.564157,0,0,0
0.414755,0.598055,0,0.601543,0,0,0
0.415005,0.366172,0,0.362385,0,0,0
0.415255,-0.0460165,0,-0.0428684,0,0,0
0.415505,-0.421885,0,-0.425286,0,0,0
0.415755,-0.571473,0,-0.573683,0,0,0
0.416005,-0.48885,0,-0.486679,0,0,0
0.416255,-0.301539,0,-0.302776,0,0,0
0.416505,-0.16724,0,-0.169067,0,0,0
0.416755,-0.12041,0,-0.121409,0,0,0
0.417005,-0.0706784,0,-0.0672198,0,0,0
0.417255,0.105783,0,0.105861,0,0,0
0.417506,0.38387,0,0.388181,0,0,0
0.417756,0.626355,0,0.628506,0,0,0
0.418006,0.645835,0,0.641557,0,0,0
0.418256,0.38355,0,0.381977,0,0,0
0.418506,-0.0253928,0,-0.0249449,0,0,0
0.418756,-0.355684,0,-0.356127,0,0,0
0.419006,-0.479598,0,-0.478231,0,0,0
0.419256,-0.407029,0,-0.40565,0,0,0
0.419506,-0.295968,0,-0.292672,0,0,0
0.419756,-0.251163,0,-0.252564,0,0,0
0.420006,-0.249549,0,-0.252888,0,0,0
0.420256,-0.17349,0,-0.169904,0,0,0
0.420506,0.0599858,0,0.0574863,0,0,0
0.420756,0.40376,0,0.408408,0,0,0
0.421006,0.655587,0,0.658837,0,0,0
0.421256,0.660765,0,0.657264,0,0,0
0.421506,0.38172,0,0.386224,0,0,0
0.421756,0.00542568,0,0.00500527,0,0,0
0.422006,-0.276102,0,-0.280401,0,0,0
0.422256,-0.371838,0,-0.368279,0,0,0
0.422506,-0.331357,0,-0.333391,0,0,0
0.422756,-0.29712,0,-0.297169,0,0,0
0.423006,-0.338327,0,-0.335446,0,0,0
0.423256,-0.375418,0,-0.378742,0,0,0
0.423506,-0.267186,0,-0.265922,0,0,0
0.423756,0.0297823,0,0.0342055,0,0,0
0.424006,0.416185,0,0.419123,0,0,0
0.424256,0.673042,0,0.669472,0,0,0
0.424506,0.649015,0,0.653558,0,0,0
0.424756,0.380376,0,0.379234,0,0,0
0.425006,0.0461193,0,0.0428523,0,0,0
0.425256,-0.182657,0,-0.183977,0,0,0
0.425506,-0.243914,0,-0.244208,0,0,0
0.425756,-0.251432,0,-0.255856,0,0,0
0.426006,-0.30759,0,-0.306305,0,0,0
0.426256,-0.428032,0,-0.426627,0,0,0
0.426506,-0.49011,0,-0.486874,0,0,0
0.426756,-0.350575,0,-0.350811,0,0,0
0.427006,0.00409498,0,0.0027601,0,0,0
0.427256,0.413985,0,0.414227,0,0,0
0.427506,0.650315,0,0.648678,0,0,0
0.427756,0.607963,0,0.608913,0,0,0
0.428006,0.359949,0,0.356951,0,0,0
