Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.400255,0.431557,0,0.427224,0,0,0
0.400505,0.301436,0,0.29942,0,0,0
0.400755,0.0197395,0,0.0156965,0,0,0
0.401005,-0.336254,0,-0.331839,0,0,0
0.401255,-0.604358,0,-0.601385,0,0,0
0.401505,-0.677842,0,-0.676791,0,0,0
0.401755,-0.549979,0,-0.552197,0,0,0
0.402005,-0.287228,0,-0.28619,0,0,0
0.402255,-0.0256783,0,-0.0298068,0,0,0
0.402505,0.128981,0,0.127926,0,0,0
0.402755,0.180419,0,0.177752,0,0,0
0.403005,0.19918,0,0.194214,0,0,0
0.403255,0.265092,0,0.263187,0,0,0
0.403505,0.391337,0,0.391266,0,0,0
0.403755,0.516412,0,0.516168,0,0,0
0.404005,0.51543,0,0.517461,0,0,0
0.404255,0.337487,0,0.335688,0,0,0
0.404505,-0.0021704,0,-0.00674085,0,0,0
0.404755,-0.361791,0,-0.365802,0,0,0
0.405005,-0.597007,0,-0.598898,0,0,0
0.405255,-0.623783,0,-0.623265,0,0,0
0.405505,-0.477657,0,-0.477501,0,0,0
0.405755,-0.252979,0,-0.256844,0,0,0
0.406005,-0.0820689,0,-0.083734,0,0,0
0.406255,0.0104578,0,0.0101102,0,0,0
0.406505,0.0448717,0,0.0488952,0,0,0
0.406755,0.11896,0,0.119811,0,0,0
0.407005,0.264487,0,0.262518,0,0,0
0.407255,0.467312,0,0.464232,0,0,0
0.407505,0.608283,0,0.606293,0,0,0
0.407755,0.572489,0,0.576199,0,0,0
0.408005,0.33151,0,0.332415,0,0,0
0.408255,-0.0235864,0,-0.0223779,0,0,0
0.408505,-0.365917,0,-0.362927,0,0,0
0.408755,-0.552653,0,-0.551812,0,0,0
0.409005,-0.54735,0,-0.546001,0,0,0
0.409255,-0.403736,0,-0.400259,0,0,0
0.409505,-0.248499,0,-0.249929,0,0,0
0.409755,-0.153725,0,-0.158697,0,0,0
0.410005,-0.120536,0,-0.119211,0,0,0
0.410255,-0.0706451,0,-0.0704801,0,0,0
0.410505,0.06743,0,0.0680418,0,0,0
0.410755,0.299316,0,0.303606,0,0,0
0.411005,0.536847,0,0.539608,0,0,0
0.411255,0.666875,0,0.666035,0,0,0
0.411505,0.588754,0,0.585336,0,0,0
0.411755,0.302939,0,0.299239,0,0,0
0.412005,-0.0497799,0,-0.0475424,0,0,0
0.412255,-0.350308,0,-0.349148,0,0,0
0.412505,-0.473918,0,-0.477987,0,0,0
0.412755,-0.446324,0,-0.448976,0,0,0
0.413005,-0.342603,0,-0.346311,0,0,0
0.413255,-0.267269,0,-0.263252,0,0,0
0.413505,-0.255857,0,-0.253428,0,0,0
0.413755,-0.252402,0,-0.24988,0,0,0
0.414005,-0.165125,0,-0.166342,0,0,0
0.414255,0.0473296,0,0.0467626,0,0,0
0.414505,0.339506,0,0.339777,0,0,0
0.414755,0.604092,0,0.60758,0,0,0
0.415005,0.698996,0,0.695209,0,0,0
0.415255,0.565411,0,0.568559,0,0,0
0.415505,0.263069,0,0.259668,0,0,0
0.415755,-0.0624213,0,-0.0646311,0,0,0
0.416005,-0.291555,0,-0.289384,0,0,0
0.416255,-0.366151,0,-0.367388,0,0,0
0.416505,-0.337956,0,-0.339783,0,0,0
0.416755,-0.300252,0,-0.301251,0,0,0
0.417005,-0.320663,0,-0.317205,0,0,0
0.417255,-0.366573,0,-0.366496,0,0,0
0.417506,-0.368271,0,-0.36396,0,0,0
0.417756,-0.226891,0,-0.22474,0,0,0
0.418006,0.0590094,0,0.0547319,0,0,0
0.418256,0.393855,0,0.392282,0,0,0
0.418506,0.638791,0,0.639239,0,0,0
0.418756,0.688087,0,0.687643,0,0,0
0.419006,0.514932,0,0.516299,0,0,0
0.419256,0.230698,0,0.232077,0,0,0
0.419506,-0.0415972,0,-0.0383014,0,0,0
0.419756,-0.199145,0,-0.200546,0,0,0
0.420006,-0.239309,0,-0.242648,0,0,0
0.420256,-0.242478,0,-0.238891,0,0,0
0.420506,-0.292856,0,-0.295355,0,0,0
0.420756,-0.391577,0,-0.386928,0,0,0
0.421006,-0.484711,0,-0.48146,0,0,0
0.421256,-0.451499,0,-0.455,0,0,0
0.421506,-0.256532,0,-0.252029,0,0,0
0.421756,0.0872143,0,0.0867939,0,0,0
0.422006,0.436098,0,0.4318,0,0,0
0.422256,0.638363,0,0.641921,0,0,0
0.422506,0.633665,0,0.631631,0,0,0
0.422756,0.451672,0,0.451623,0,0,0
0.423006,0.202413,0,0.205294,0,0,0
0.423256,0.00769943,0,0.00437492,0,0,0
0.423506,-0.0823203,0,-0.0810562,0,0,0
0.423756,-0.119469,0,-0.115046,0,0,0
0.424006,-0.17469,0,-0.171752,0,0,0
0.424256,-0.3044,0,-0.30797,0,0,0
0.424506,-0.475065,0,-0.470523,0,0,0
0.424756,-0.575235,0,-0.576377,0,0,0
0.425006,-0.502845,0,-0.506112,0,0,0
0.425256,-0.245508,0,-0.246828,0,0,0
0.425506,0.126986,0,0.126692,0,0,0
0.425756,0.447059,0,0.442635,0,0,0
0.426006,0.603323,0,0.604609,0,0,0
0.426256,0.555809,0,0.557213,0,0,0
0.426506,0.377592,0,0.380828,0,0,0
0.426756,0.192761,0,0.192526,0,0,0
0.427006,0.0860231,0,0.0846883,0,0,0
0.427256,0.0487969,0,0.0490393,0,0,0
0.427506,-0.00534377,0,-0.00698059,0,0,0
0.427756,-0.14131,0,-0.14036,0,0,0
0.428006,-0.358087,0,-0.361085,0,0,0
0.428256,-0.56062,0,-0.565591,0,0,0
0.428506,-0.645966,0,-0.649778,0,0,0
0.428756,-0.520921,0,-0.522991,0,0,0
0.429006,-0.208469,0,-0.204327,0,0,0
0.429256,0.160014,0,0.161863,0,0,0
0.429506,0.434302,0,0.438611,0,0,0
0.429756,0.527397,0,0.529142,0,0,0
0.430006,0.462144,0,0.461212,0,0,0
0.430256,0.328941,0,0.333456,0,0,0
0.430506,0.226175,0,0.227474,0,0,0
0.430756,0.197304,0,0.199217,0,0,0
0.431006,0.174175,0,0.170635,0,0,0
0.431256,0.0706337,0,0.0666292,0,0,0
0.431506,-0.136227,0,-0.138042,0,0,0
0.431756,-0.418694,0,-0.414417,0,0,0
0.432006,-0.63435,0,-0.638841,0,0,0
0.432256,-0.671575,0,-0.669239,0,0,0
0.432506,-0.493528,0,-0.495998,0,0,0
0.432756,-0.160933,0,-0.159447,0,0,0
0.433006,0.173618,0,0.17707,0,0,0
0.433256,0.380934,0,0.376646,0,0,0
0.433506,0.428037,0,0.430484,0,0,0
0.433756,0.362516,0,0.365894,0,0,0
0.434006,0.295699,0,0.299036,0,0,0
0.434256,0.297559,0,0.299881,0,0,0
0.434506,0.321782,0,0.323802,0,0,0
0.434756,0.289194,0,0.285055,0,0,0
0.435006,0.116821,0,0.112553,0,0,0
0.435256,-0.166422,0,-0.16894,0,0,0
0.435506,-0.484445,0,-0.485615,0,0,0
0.435756,-0.678526,0,-0.681851,0,0,0
0.436006,-0.663615,0,-0.664378,0,0,0
0.436256,-0.43408,0,-0.429436,0,0,0
0.436506,-0.120747,0,-0.11858,0,0,0
0.436756,0.14705,0,0.147549,0,0,0
0.437006,0.289961,0,0.294288,0,0,0
0.437256,0.306575,0,0.306189,0,0,0
0.437506,0.281734,0,0.278919,0,0,0
0.437756,0.305368,0,0.305483,0,0,0
0.438006,0.383659,0,0.380411,0,0,0
0.438256,0.431817,0,0.431371,0,0,0
0.438506,0.366988,0,0.365017,0,0,0
0.438756,0.130285,0,0.135136,0,0,0
0.439007,-0.220417,0,-0.222228,0,0,0
0.439257,-0.539096,0,-0.538646,0,0,0
0.439507,-0.680562,0,-0.684444,0,0,0
0.439757,-0.609915,0,-0.606271,0,0,0
0.440007,-0.367804,0,-0.367875,0,0,0
0.440257,-0.100537,0,-0.096715,0,0,0
0.440507,0.0882957,0,0.0913771,0,0,0
0.440757,0.163795,0,0.166835,0,0,0
0.441007,0.190297,0,0.192868,0,0,0
0.441257,0.241573,0,0.237397,0,0,0
0.441507,0.349818,0,0.346992,0,0,0
0.441757,0.491718,0,0.494239,0,0,0
0.442007,0.529425,0,0.524686,0,0,0
0.442257,0.398084,0,0.39594,0,0,0
0.442507,0.092418,0,0.0915059,0,0,0
0.442757,-0.2693,0,-0.267851,0,0,0
0.443007,-0.55638,0,-0.557302,0,0,0
0.443257,-0.637704,0,-0.635041,0,0,0
0.443507,-0.524006,0,-0.519157,0,0,0
0.443757,-0.312972,0,-0.309191,0,0,0
0.444007,-0.106707,0,-0.106836,0,0,0
0.444257,-0.000348917,0,-0.000460481,0,0,0
0.444507,0.0416694,0,0.0370412,0,0,0
0.444757,0.0903028,0,0.0888185,0,0,0
0.445007,0.224788,0,0.226635,0,0,0
0.445257,0.423458,0,0.424038,0,0,0
0.445507,0.586294,0,0.585652,0,0,0
0.445757,0.592128,0,0.593997,0,0,0
0.446007,0.392281,0,0.391655,0,0,0
0.446257,0.0508318,0,0.0551975,0,0,0
0.446507,-0.307499,0,-0.306829,0,0,0
0.446757,-0.531735,0,-0.532932,0,0,0
0.447007,-0.557498,0,-0.557215,0,0,0
0.447257,-0.435208,0,-0.431596,0,0,0
0.447507,-0.271569,0,-0.272057,0,0,0
0.447757,-0.163732,0,-0.167018,0,0,0
0.448007,-0.125928,0,-0.122331,0,0,0
0.448257,-0.0839544,0,-0.0882306,0,0,0
0.448507,0.0388974,0,0.0368275,0,0,0
0.448757,0.259092,0,0.255751,0,0,0
0.449007,0.512429,0,0.509059,0,0,0
0.449257,0.664323,0,0.661377,0,0,0
0.449507,0.608693,0,0.606885,0,0,0
0.449757,0.355979,0,0.358592,0,0,0
0.450007,-0.0106033,0,-0.0119436,0,0,0
0.450257,-0.317581,0,-0.312649,0,0,0
0.450507,-0.472629,0,-0.471497,0,0,0
0.450757,-0.449145,0,-0.445434,0,0,0
0.451007,-0.355162,0,-0.350638,0,0,0
0.451257,-0.278033,0,-0.276394,0,0,0
0.451507,-0.250514,0,-0.252392,0,0,0
0.451757,-0.25242,0,-0.250258,0,0,0
0.452007,-0.177663,0,-0.180587,0,0,0
0.452257,0.0214854,0,0.0194774,0,0,0
0.452507,0.316494,0,0.313831,0,0,0
0.452757,0.588989,0,0.585433,0,0,0
0.453007,0.693442,0,0.69263,0,0,0
0.453257,0.579166,0,0.579938,0,0,0
0.453507,0.285964,0,0.287746,0,0,0
0.453757,-0.0379852,0,-0.0418593,0,0,0
0.454007,-0.281336,0,-0.278644,0,0,0
0.454257,-0.366719,0,-0.365765,0,0,0
0.454507,-0.337613,0,-0.338067,0,0,0
0.454757,-0.29837,0,-0.294998,0,0,0
0.455007,-0.313371,0,-0.315669,0,0,0
0.455257,-0.367006,0,-0.371813,0,0,0
0.455507,-0.364959,0,-0.360521,0,0,0
0.455757,-0.238049,0,-0.239481,0,0,0
0.456007,0.0458478,0,0.0465063,0,0,0
0.456257,0.383379,0,0.387435,0,0,0
0.456507,0.642607,0,0.646084,0,0,0
0.456757,0.690227,0,0.695196,0,0,0
0.457007,0.52155,0,0.5226,0,0,0
0.457257,0.223158,0,0.225,0,0,0
0.457507,-0.0467931,0,-0.046289,0,0,0
0.457757,-0.200603,0,-0.195777,0,0,0
0.458007,-0.248837,0,-0.244252,0,0,0
0.458257,-0.244372,0,-0.245341,0,0,0
0.458507,-0.293755,0,-0.292515,0,0,0
0.458757,-0.388292,0,-0.384912,0,0,0
0.459007,-0.477222,0,-0.480655,0,0,0
0.459257,-0.454677,0,-0.451145,0,0,0
0.459507,-0.241807,0,-0.238776,0,0,0
0.459757,0.0999664,0,0.0971078,0,0,0
0.460007,0.445207,0,0.445926,0,0,0
0.460258,0.642262,0,0.6447,0,0,0
0.460508,0.626379,0,0.625819,0,0,0
0.460758,0.439477,0,0.43486,0,0,0
0.461008,0.186419,0,0.190207,0,0,0
0.461258,-0.00893626,0,-0.0121226,0,0,0
0.461508,-0.0934092,0,-0.0918312,0,0,0
0.461758,-0.1185,0,-0.115595,0,0,0
0.462008,-0.189018,0,-0.192536,0,0,0
0.462258,-0.324326,0,-0.325904,0,0,0
0.462508,-0.493314,0,-0.491068,0,0,0
0.462758,-0.583185,0,-0.586935,0,0,0
0.463008,-0.483234,0,-0.482384,0,0,0
0.463258,-0.204503,0,-0.204519,0,0,0
0.463508,0.168818,0,0.166994,0,0,0
0.463758,0.473169,0,0.474424,0,0,0
0.464008,0.607849,0,0.604388,0,0,0
0.464258,0.541114,0,0.53982,0,0,0
0.464508,0.353935,0,0.350675,0,0,0
0.464758,0.182065,0,0.178496,0,0,0
0.465008,0.0769089,0,0.0800063,0,0,0
0.465258,0.0393444,0,0.043439,0,0,0
0.465508,-0.0206268,0,-0.0179602,0,0,0
0.465758,-0.169194,0,-0.168544,0,0,0
0.466008,-0.393459,0,-0.392327,0,0,0
0.466258,-0.592001,0,-0.589428,0,0,0
0.466508,-0.643748,0,-0.640274,0,0,0
0.466758,-0.4787,0,-0.476169,0,0,0
0.467008,-0.142465,0,-0.141756,0,0,0
0.467258,0.221686,0,0.221274,0,0,0
0.467508,0.467256,0,0.470531,0,0,0
0.467758,0.52688,0,0.530361,0,0,0
0.468008,0.432779,0,0.433931,0,0,0
0.468258,0.303038,0,0.306274,0,0,0
0.468508,0.21611,0,0.215722,0,0,0
0.468758,0.194793,0,0.190457,0,0,0
0.469008,0.164919,0,0.16585,0,0,0
0.469258,0.0365553,0,0.0413894,0,0,0
0.469508,-0.198635,0,-0.194957,0,0,0
0.469758,-0.47887,0,-0.477086,0,0,0
0.470008,-0.667701,0,-0.666288,0,0,0
0.470258,-0.649423,0,-0.652957,0,0,0
0.470508,-0.426196,0,-0.426162,0,0,0
0.470758,-0.0734678,0,-0.0766981,0,0,0
0.471008,0.233242,0,0.230719,0,0,0
0.471258,0.407355,0,0.403855,0,0,0
0.471508,0.409946,0,0.414886,0,0,0
0.471758,0.347157,0,0.347761,0,0,0
0.472008,0.297693,0,0.298026,0,0,0
0.472258,0.301388,0,0.302405,0,0,0
0.472508,0.316229,0,0.317223,0,0,0
0.472758,0.257416,0,0.259512,0,0,0
0.473008,0.0520602,0,0.0491291,0,0,0
0.473258,-0.263233,0,-0.263557,0,0,0
0.473508,-0.558195,0,-0.558434,0,0,0
0.473758,-0.701698,0,-0.706503,0,0,0
0.474008,-0.615169,0,-0.61285,0,0,0
0.474258,-0.347901,0,-0.345831,0,0,0
0.474508,-0.0276136,0,-0.0263087,0,0,0
0.474758,0.203766,0,0.208721,0,0,0
0.475008,0.300128,0,0.305102,0,0,0
0.475258,0.297879,0,0.300043,0,0,0
0.475508,0.290188,0,0.285614,0,0,0
0.475758,0.327595,0,0.324198,0,0,0
