Hz,Magnitude
7.8125,0.000160189
15.625,0.000727667
23.4375,0.00195674
31.25,0.0103532
39.0625,0.0106134
46.875,0.00225885
54.6875,0.00029509
62.5,0.000294768
70.3125,0.000205233
78.125,0.000160302
85.9375,0.000203758
93.75,0.000213887
101.562,0.000979802
109.375,0.000654247
117.188,0.000376035
125,0.000548592
132.812,0.000561582
140.625,0.000501678
148.438,0.000231038
156.25,0.000193822
164.062,0.000154709
171.875,0.000249551
179.688,0.000135831
187.5,0.000585965
195.312,0.000616255
203.125,0.000427776
210.938,0.00112808
218.75,0.000754086
226.562,0.00041365
234.375,0.000472415
242.188,0.000197632
250,0.000225067
257.812,0.000163553
265.625,0.000521812
273.438,0.000802
281.25,0.000986755
289.062,0.000871503
296.875,0.000750026
304.688,0.00065455
312.5,0.000258653
320.312,0.000238517
328.125,0.000239053
335.938,0.000312494
343.75,0.000896552
351.562,0.00602426
359.375,0.132133
367.188,0.259893
375,0.129549
382.812,0.00696624
390.625,0.00108837
398.438,0.000300939
406.25,0.000297738
414.062,0.000113808
421.875,0.000173638
429.688,0.000126082
437.5,0.000470459
445.312,0.000399688
453.125,0.000202044
460.938,0.000144684
468.75,5.25121e-05
476.562,0.000129982
484.375,4.74953e-05
492.188,0.000164648
500,0.000331021
507.812,0.00029858
515.625,0.000100785
523.438,0.000163441
531.25,0.000205626
539.062,0.000178501
546.875,6.41126e-05
554.688,2.83008e-05
562.5,3.07031e-05
570.312,9.67893e-05
578.125,0.000212826
585.938,0.000140337
593.75,0.000140377
601.562,0.000144515
609.375,0.000111594
617.188,8.11732e-05
625,9.01746e-05
632.812,0.000184895
640.625,0.000162228
648.438,0.000105993
656.25,7.12599e-05
664.062,0.000131719
671.875,0.000174066
679.688,0.000174539
687.5,0.000169312
695.312,0.000425083
703.125,0.000488137
710.938,0.000239203
718.75,0.000131302
726.562,0.00014174
734.375,0.000322806
742.188,0.000686638
750,0.00216028
757.812,0.0122447
765.625,0.0744331
773.438,0.092049
781.25,0.0278023
789.062,0.00399279
796.875,0.000894011
804.688,0.000402641
812.5,0.000294549
820.312,0.000261602
828.125,5.43298e-05
835.938,0.000115136
843.75,6.93859e-05
851.562,0.000228197
859.375,0.000240029
867.188,0.000110404
875,4.36811e-05
882.812,0.000107072
890.625,6.56309e-05
898.438,4.76685e-05
906.25,0.000110032
914.062,9.42172e-05
921.875,0.000116146
929.688,0.000128398
937.5,0.000133527
945.312,8.02592e-05
953.125,0.000156172
960.938,9.36546e-05
968.75,0.000128961
976.562,0.000180586
984.375,4.10755e-05
992.188,5.72145e-05
1000,1.99169e-05
1007.81,1.16087e-05
1015.62,0.000112599
1023.44,0.000121065
1031.25,0.00011377
1039.06,4.13187e-05
1046.88,0.00012493
1054.69,0.000173844
1062.5,0.000196568
1070.31,0.000301287
1078.12,0.000363753
1085.94,0.000289181
1093.75,8.12261e-05
1101.56,0.000369222
1109.38,0.000293015
1117.19,5.52252e-05
1125,0.000127112
1132.81,9.49352e-05
1140.62,0.000227339
1148.44,9.15943e-05
1156.25,0.000142675
1164.06,0.000183482
1171.88,7.86462e-05
1179.69,4.90193e-05
1187.5,0.000154358
1195.31,0.00020414
1203.12,1.54616e-05
1210.94,0.000122616
1218.75,0.000106677
1226.56,0.000105715
1234.38,0.000109902
1242.19,0.000136752
1250,0.000145427
1257.81,8.24183e-05
1265.62,6.71978e-05
1273.44,0.000111904
1281.25,9.83665e-05
1289.06,0.00016781
1296.88,0.000121913
1304.69,0.000123097
1312.5,9.09901e-05
1320.31,1.06408e-05
1328.12,2.61085e-05
1335.94,7.71386e-05
1343.75,0.000154166
1351.56,0.000216134
1359.38,0.000336144
1367.19,0.000293986
1375,0.000195526
1382.81,0.000132582
1390.62,0.000176538
1398.44,0.000193117
1406.25,0.000154487
1414.06,9.93924e-05
1421.88,7.0905e-05
1429.69,5.74819e-05
1437.5,8.5623e-05
1445.31,6.94288e-05
1453.12,0.000141857
1460.94,0.000204599
1468.75,0.000128909
1476.56,0.000100265
1484.38,9.14034e-05
1492.19,0.000202045
1500,0.000380429
1507.81,0.000387233
1515.62,0.000193617
1523.44,6.99152e-05
1531.25,5.29862e-05
1539.06,7.65084e-05
1546.88,8.36478e-05
1554.69,5.008e-05
1562.5,9.89622e-05
1570.31,7.87628e-05
1578.12,8.24985e-05
1585.94,0.000211522
1593.75,0.000152738
1601.56,0.000269495
1609.38,0.000200494
1617.19,0.000122462
1625,0.000129627
1632.81,0.000104943
1640.62,0.000198475
1648.44,0.00019668
1656.25,3.96791e-05
1664.06,0.000140276
1671.88,6.04965e-05
1679.69,6.31551e-05
1687.5,0.00020386
1695.31,0.000170531
1703.12,6.89593e-05
1710.94,0.000112095
1718.75,0.000165619
1726.56,0.000230574
1734.38,2.22382e-05
1742.19,0.00023904
1750,0.000262612
1757.81,0.000170315
1765.62,4.94791e-05
1773.44,0.000128306
1781.25,0.00014832
1789.06,9.16393e-05
1796.88,0.000192259
1804.69,0.000306122
1812.5,0.000176398
1820.31,0.000141881
1828.12,0.000221428
1835.94,0.000278226
1843.75,0.000344786
1851.56,0.000263506
1859.38,0.000132023
1867.19,0.000148744
1875,0.000192447
1882.81,0.000161505
1890.62,0.000181498
1898.44,0.000174822
1906.25,5.03839e-05
1914.06,0.000159379
1921.88,0.000145991
1929.69,0.000212044
1937.5,0.000156193
1945.31,4.92449e-05
1953.12,6.88991e-05
1960.94,3.00328e-05
1968.75,0.000105711
1976.56,6.52744e-05
1984.38,8.13887e-05
1992.19,4.33684e-05
