Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.400255,0.137835,0,0.133502,0,0,0
0.400505,0.248485,0,0.246468,0,0,0
0.400755,0.429292,0,0.425249,0,0,0
0.401005,0.415903,0,0.420319,0,0,0
0.401255,0.525597,0,0.52857,0,0,0
0.401505,0.567928,0,0.568978,0,0,0
0.401755,0.337822,0,0.335604,0,0,0
0.402005,0.280262,0,0.281301,0,0,0
0.402255,0.348342,0,0.344213,0,0,0
0.402505,0.31024,0,0.309185,0,0,0
0.402755,0.293696,0,0.291029,0,0,0
0.403005,0.255811,0,0.250846,0,0,0
0.403255,0.208232,0,0.206326,0,0,0
0.403505,0.115792,0,0.115721,0,0,0
0.403755,0.145357,0,0.145113,0,0,0
0.404005,-0.0260678,0,-0.0240364,0,0,0
0.404255,-0.0776385,0,-0.0794384,0,0,0
0.404505,-0.350039,0,-0.35461,0,0,0
0.404755,-0.503857,0,-0.507868,0,0,0
0.405005,-0.589937,0,-0.591828,0,0,0
0.405255,-0.585576,0,-0.585058,0,0,0
0.405505,-0.677769,0,-0.677613,0,0,0
0.405755,-0.565524,0,-0.569389,0,0,0
0.406005,-0.589682,0,-0.591347,0,0,0
0.406255,-0.306658,0,-0.307006,0,0,0
0.406505,-0.15387,0,-0.149846,0,0,0
0.406755,0.12564,0,0.126491,0,0,0
0.407005,0.155192,0,0.153222,0,0,0
0.407255,0.354899,0,0.351818,0,0,0
0.407505,0.493284,0,0.491294,0,0,0
0.407755,0.464324,0,0.468034,0,0,0
0.408005,0.345721,0,0.346625,0,0,0
0.408255,0.429123,0,0.430331,0,0,0
0.408505,0.330491,0,0.33348,0,0,0
0.408755,0.298651,0,0.299491,0,0,0
0.409005,0.24646,0,0.247809,0,0,0
0.409255,0.350967,0,0.354444,0,0,0
0.409505,0.323392,0,0.321961,0,0,0
0.409755,0.326797,0,0.321826,0,0,0
0.410005,0.264433,0,0.265757,0,0,0
0.410255,0.225952,0,0.226117,0,0,0
0.410505,0.122176,0,0.122788,0,0,0
0.410755,-0.0605361,0,-0.0562459,0,0,0
0.411005,-0.379516,0,-0.376755,0,0,0
0.411255,-0.485081,0,-0.485921,0,0,0
0.411505,-0.549774,0,-0.553192,0,0,0
0.411755,-0.785654,0,-0.789354,0,0,0
0.412005,-0.643256,0,-0.641019,0,0,0
0.412255,-0.72472,0,-0.72356,0,0,0
0.412505,-0.487517,0,-0.491586,0,0,0
0.412755,-0.363815,0,-0.366467,0,0,0
0.413005,-0.126923,0,-0.130632,0,0,0
0.413255,0.0537304,0,0.0577473,0,0,0
0.413505,0.126786,0,0.129215,0,0,0
0.413755,0.197827,0,0.200349,0,0,0
0.414005,0.325235,0,0.324018,0,0,0
0.414255,0.350159,0,0.349592,0,0,0
0.414505,0.230986,0,0.231257,0,0,0
0.414755,0.297481,0,0.300969,0,0,0
0.415005,0.343339,0,0.339552,0,0,0
0.415255,0.316953,0,0.320101,0,0,0
0.415505,0.269928,0,0.266527,0,0,0
0.415755,0.385339,0,0.383129,0,0,0
0.416005,0.408966,0,0.411137,0,0,0
0.416255,0.460257,0,0.45902,0,0,0
0.416505,0.418558,0,0.416731,0,0,0
0.416755,0.305488,0,0.304489,0,0,0
0.417005,0.0430112,0,0.0464698,0,0,0
0.417255,-0.0701699,0,-0.070092,0,0,0
0.417506,-0.338681,0,-0.33437,0,0,0
0.417756,-0.45061,0,-0.448459,0,0,0
0.418006,-0.530953,0,-0.53523,0,0,0
0.418256,-0.657813,0,-0.659386,0,0,0
0.418506,-0.703482,0,-0.703034,0,0,0
0.418756,-0.536617,0,-0.537061,0,0,0
0.419006,-0.483275,0,-0.481907,0,0,0
0.419256,-0.229557,0,-0.228179,0,0,0
0.419506,-0.102171,0,-0.0988754,0,0,0
0.419756,0.0285065,0,0.0271056,0,0,0
0.420006,0.170386,0,0.167047,0,0,0
0.420256,0.21446,0,0.218047,0,0,0
0.420506,0.102698,0,0.100199,0,0,0
0.420756,0.150695,0,0.155343,0,0,0
0.421006,0.0934899,0,0.0967408,0,0,0
0.421256,0.266556,0,0.263055,0,0,0
0.421506,0.171847,0,0.176351,0,0,0
0.421756,0.340176,0,0.339755,0,0,0
