Hz,Magnitude
7.8125,0.0012717
15.625,0.00756128
23.4375,0.00765953
31.25,0.000971844
39.0625,0.0034399
46.875,0.00210871
54.6875,0.00221478
62.5,0.00255703
70.3125,0.00273296
78.125,0.00528889
85.9375,0.00334614
93.75,0.000872953
101.562,0.00104537
109.375,0.00254616
117.188,0.0012377
125,0.00373352
132.812,0.00508606
140.625,0.0217726
148.438,0.0905465
156.25,0.0643246
164.062,0.00432658
171.875,0.00411714
179.688,0.00890628
187.5,0.0108749
195.312,0.00179005
203.125,0.00288363
210.938,0.00308338
218.75,0.00510714
226.562,0.00248193
234.375,0.00133973
242.188,0.00292104
250,0.00412746
257.812,0.00487482
265.625,0.00422564
273.438,0.0047025
281.25,0.00578909
289.062,0.0031335
296.875,0.00344991
304.688,0.0288719
312.5,0.0906975
320.312,0.0658123
328.125,0.00715814
335.938,0.00326077
343.75,0.00461705
351.562,0.00561956
359.375,0.00451129
367.188,0.00473579
375,0.00274096
382.812,0.00172327
390.625,0.00306925
398.438,0.00157254
406.25,0.00122812
414.062,0.00306524
421.875,0.00176136
429.688,0.00167602
437.5,0.000832427
445.312,0.00605013
453.125,0.0071954
460.938,0.00308706
468.75,0.00100242
476.562,0.00182132
484.375,0.00265461
492.188,0.00317173
500,0.00358779
507.812,0.00514488
515.625,0.00434616
523.438,0.00306763
531.25,0.00195914
539.062,0.00476052
546.875,0.00420657
554.688,0.00413925
562.5,0.00330286
570.312,0.00241291
578.125,0.00410652
585.938,0.00216281
593.75,0.00315659
601.562,0.00154187
609.375,0.00369145
617.188,0.00555598
625,0.00304205
632.812,0.000720968
640.625,0.000493483
648.438,0.00157604
656.25,0.00107154
664.062,0.000978197
671.875,0.000520311
679.688,0.00195115
687.5,0.00304994
695.312,0.0027133
703.125,0.00214762
710.938,0.00306217
718.75,0.00360487
726.562,0.00419035
734.375,0.00613182
742.188,0.00561922
750,0.00202731
757.812,0.00315234
765.625,0.00217279
773.438,0.00374375
781.25,0.00167068
789.062,0.0029749
796.875,0.00133142
804.688,0.00112306
812.5,0.00192738
820.312,0.00278243
828.125,0.00151274
835.938,0.00329979
843.75,0.00372535
851.562,0.00300926
859.375,0.00330866
867.188,0.00275894
875,0.000738783
882.812,0.00302878
890.625,0.00227417
898.438,0.00384541
906.25,0.00548258
914.062,0.00241312
921.875,0.00037956
929.688,0.000950738
937.5,0.0012284
945.312,0.00179534
953.125,0.00282462
960.938,0.00317145
968.75,0.00296602
976.562,0.001307
984.375,0.000705375
992.188,0.000900753
1000,0.0022939
1007.81,0.00242751
1015.62,0.000679045
1023.44,0.00238941
1031.25,0.000429081
1039.06,0.00169895
1046.88,0.00450728
1054.69,0.0028756
1062.5,0.00111054
1070.31,0.000818032
1078.12,0.00195631
1085.94,0.00141101
1093.75,0.00168586
1101.56,0.00502077
1109.38,0.00497396
1117.19,0.00221464
1125,0.00250968
1132.81,0.00343098
1140.62,0.000306403
1148.44,0.00396572
1156.25,0.0032141
1164.06,0.00135799
1171.88,0.000875024
1179.69,0.000994864
1187.5,0.00225233
1195.31,0.00105592
1203.12,0.00273484
1210.94,0.000670785
1218.75,0.00174966
1226.56,0.00284773
1234.38,0.00352376
1242.19,0.00304724
1250,0.00375456
1257.81,0.00222131
1265.62,0.00408135
1273.44,0.00497726
1281.25,0.00312401
1289.06,0.0021813
1296.88,0.00407369
1304.69,0.00265578
1312.5,0.00152709
1320.31,0.00231001
1328.12,0.00345742
1335.94,0.00469009
1343.75,0.00298705
1351.56,0.000764151
1359.38,0.00339104
1367.19,0.00368183
1375,0.00205686
1382.81,0.00207647
1390.62,0.00236981
1398.44,0.00425385
1406.25,0.00299152
1414.06,0.00276301
1421.88,0.0048195
1429.69,0.00429491
1437.5,0.00470544
1445.31,0.0048331
1453.12,0.00444638
1460.94,0.00220743
1468.75,0.00104301
1476.56,0.00100162
1484.38,0.00200198
1492.19,0.000890861
1500,0.00185838
1507.81,0.00160264
1515.62,0.0031152
1523.44,0.00401598
1531.25,0.0038848
1539.06,0.00390622
1546.88,0.00417095
1554.69,0.00349963
1562.5,0.000462113
1570.31,0.00154354
1578.12,0.00182373
1585.94,0.0020046
1593.75,0.000418673
1601.56,0.00187726
1609.38,0.00402598
1617.19,0.00430758
1625,0.00394102
1632.81,0.00297598
1640.62,0.00103965
1648.44,0.00127323
1656.25,0.00496434
1664.06,0.00615656
1671.88,0.00422509
1679.69,0.00254991
1687.5,0.00327965
1695.31,0.00361315
1703.12,0.00276162
1710.94,0.00468289
1718.75,0.00204738
1726.56,0.0025888
1734.38,0.0016739
1742.19,0.00434081
1750,0.00411976
1757.81,0.00332609
1765.62,0.00360187
1773.44,0.00203993
1781.25,0.00375795
1789.06,0.00263698
1796.88,0.000832792
1804.69,0.00117519
1812.5,0.0035018
1820.31,0.00375081
1828.12,0.00299501
1835.94,0.00448341
1843.75,0.00524183
1851.56,0.00296909
1859.38,0.00308555
1867.19,0.00103593
1875,0.00411047
1882.81,0.0033268
1890.62,0.000940923
1898.44,0.00106459
1906.25,0.00122908
1914.06,0.00259572
1921.88,0.00310105
1929.69,0.00272563
1937.5,0.00428538
1945.31,0.00332934
1953.12,0.00384097
1960.94,0.00174852
1968.75,0.00213367
1976.56,0.00302649
1984.38,0.0042935
1992.19,0.00197695
