Hz,Magnitude
7.8125,0.00261805
15.625,0.00111338
23.4375,0.000985385
31.25,0.00101043
39.0625,0.000619641
46.875,0.000707162
54.6875,0.000651573
62.5,0.000345816
70.3125,0.00015529
78.125,0.000186826
85.9375,0.000516013
93.75,6.97249e-05
101.562,0.000197668
109.375,0.00156367
117.188,0.000920887
125,0.0054438
132.812,0.00479066
140.625,0.103844
148.438,0.262027
156.25,0.202539
164.062,0.065167
171.875,0.0109166
179.688,0.0051496
187.5,0.00248974
195.312,0.00169256
203.125,0.000685117
210.938,0.000176913
218.75,0.000302181
226.562,0.000215969
234.375,0.000433552
242.188,0.000723884
250,0.00061077
257.812,0.00129511
265.625,0.00258272
273.438,0.003347
281.25,0.00776529
289.062,0.00967785
296.875,0.0146384
304.688,0.0195549
312.5,0.0337769
320.312,0.0318025
328.125,0.0351396
335.938,0.0214782
343.75,0.0158378
351.562,0.00883982
359.375,0.00825753
367.188,0.00762006
375,0.00372221
382.812,0.00157231
390.625,0.000333429
398.438,0.0016483
406.25,0.00240254
414.062,0.00283126
421.875,0.00345691
429.688,0.00386268
437.5,0.00694436
445.312,0.00586561
453.125,0.00452012
460.938,0.00800706
468.75,0.00938685
476.562,0.0158975
484.375,0.00832604
492.188,0.00163843
500,0.000538525
507.812,0.000552909
515.625,0.000379636
523.438,0.000435225
531.25,0.000342351
539.062,0.000431596
546.875,0.000577039
554.688,0.000390957
562.5,0.000233026
570.312,0.000283734
578.125,0.000257079
585.938,0.000686844
593.75,0.000547856
601.562,0.000783128
609.375,0.00170462
617.188,0.00348377
625,0.00236437
632.812,0.00431479
640.625,0.00363825
648.438,0.00166463
656.25,0.00118553
664.062,0.000705687
671.875,0.000340399
679.688,0.000368776
687.5,0.000245631
695.312,0.000192965
703.125,0.0002465
710.938,8.53999e-05
718.75,0.000101006
726.562,0.000120753
734.375,0.000101325
742.188,0.000314414
750,0.000144746
757.812,0.000335346
765.625,0.000282877
773.438,0.00064761
781.25,0.00103944
789.062,0.000866196
796.875,0.000175455
804.688,0.0003878
812.5,0.000464558
820.312,0.000419679
828.125,0.000130268
835.938,8.43388e-05
843.75,0.00017296
851.562,0.000236164
859.375,0.000136989
867.188,0.000173559
875,0.00025001
882.812,0.000354463
890.625,0.000143509
898.438,0.0003186
906.25,0.000271565
914.062,0.000235985
921.875,0.000109137
929.688,0.000371125
937.5,0.000732545
945.312,0.000608209
953.125,0.000662697
960.938,0.000396689
968.75,0.000339998
976.562,0.000285099
984.375,0.000193387
992.188,0.000117305
1000,1.20769e-05
1007.81,7.5257e-05
1015.62,9.25378e-05
1023.44,0.000201681
1031.25,0.000126882
1039.06,0.000200094
1046.88,0.000288917
1054.69,0.000137925
1062.5,0.000143126
1070.31,0.000135078
1078.12,0.000252993
1085.94,8.26617e-05
1093.75,0.000189122
1101.56,0.000279494
1109.38,0.000395513
1117.19,0.000172799
1125,0.000181145
1132.81,0.00018583
1140.62,4.29732e-05
1148.44,9.44726e-05
1156.25,4.22477e-05
1164.06,5.32029e-05
1171.88,0.000106734
1179.69,0.000122605
1187.5,5.40641e-05
1195.31,0.000249745
1203.12,0.000369
1210.94,0.000232665
1218.75,0.00013525
1226.56,5.66945e-05
1234.38,0.000121171
1242.19,5.70005e-05
1250,0.000223275
1257.81,0.00014688
1265.62,0.000272384
1273.44,0.0003788
1281.25,8.90107e-05
1289.06,0.0002134
1296.88,0.000381602
1304.69,0.000252956
1312.5,9.89935e-05
1320.31,7.06913e-05
1328.12,0.000143329
1335.94,0.000225154
1343.75,0.000173186
1351.56,0.000218298
1359.38,0.000396064
1367.19,0.000460523
1375,0.000213044
1382.81,0.000220976
1390.62,0.000156149
1398.44,0.000306639
1406.25,0.000308245
1414.06,0.000234107
1421.88,0.00024897
1429.69,0.000143551
1437.5,0.000276693
1445.31,0.000306647
1453.12,0.000252256
1460.94,0.000162987
1468.75,6.06712e-05
1476.56,7.1975e-05
1484.38,0.000184393
1492.19,4.58337e-05
1500,0.000233451
1507.81,0.000229593
1515.62,0.000116927
1523.44,5.33201e-05
1531.25,9.54953e-05
1539.06,0.000166367
1546.88,0.00032802
1554.69,0.000282684
1562.5,8.25987e-05
1570.31,5.04324e-05
1578.12,9.89359e-05
1585.94,0.000136314
1593.75,0.000160727
1601.56,0.000157903
1609.38,0.000190819
1617.19,0.000182302
1625,0.000217594
1632.81,0.000331282
1640.62,0.000191433
1648.44,0.0001654
1656.25,0.000347465
1664.06,0.000417687
1671.88,0.00041411
1679.69,0.000286043
1687.5,0.000210318
1695.31,0.000273739
1703.12,2.03999e-05
1710.94,0.000137854
1718.75,0.000120823
1726.56,0.00022114
1734.38,5.67289e-05
1742.19,0.000553859
1750,0.000680302
1757.81,0.000361752
1765.62,0.000130046
1773.44,0.000203372
1781.25,0.000258777
1789.06,0.00021337
1796.88,0.000197251
1804.69,0.000163351
1812.5,7.66446e-05
1820.31,0.000301113
1828.12,0.000216955
1835.94,0.000187823
1843.75,0.000298541
1851.56,0.000129929
1859.38,0.000217246
1867.19,0.000181895
1875,0.000264591
1882.81,0.00018282
1890.62,0.000126351
1898.44,0.000217493
1906.25,0.000243041
1914.06,0.000114653
1921.88,8.8851e-05
1929.69,0.000111463
1937.5,0.000152381
1945.31,0.000133907
1953.12,0.000261983
1960.94,9.78588e-05
1968.75,0.000208095
1976.56,6.75472e-05
1984.38,0.000352259
1992.19,0.000148145
