Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.400255,0.101626,0,0.0972924,0,0,0
0.400505,0.285654,0,0.283637,0,0,0
0.400755,0.42851,0,0.424467,0,0,0
0.401005,0.504153,0,0.508569,0,0,0
0.401255,0.527252,0,0.530225,0,0,0
0.401505,0.497985,0,0.499035,0,0,0
0.401755,0.423619,0,0.4214,0,0,0
0.402005,0.346988,0,0.348026,0,0,0
0.402255,0.284153,0,0.280025,0,0,0
0.402505,0.235304,0,0.23425,0,0,0
0.402755,0.209376,0,0.206709,0,0,0
0.403005,0.197403,0,0.192438,0,0,0
0.403255,0.18614,0,0.184234,0,0,0
0.403505,0.157206,0,0.157134,0,0,0
0.403755,0.104518,0,0.104275,0,0,0
0.404005,0.00433777,0,0.00636918,0,0,0
0.404255,-0.125146,0,-0.126946,0,0,0
0.404505,-0.288442,0,-0.293012,0,0,0
0.404755,-0.447773,0,-0.451784,0,0,0
0.405005,-0.580657,0,-0.582548,0,0,0
0.405255,-0.662171,0,-0.661653,0,0,0
0.405505,-0.684385,0,-0.684229,0,0,0
0.405755,-0.62551,0,-0.629375,0,0,0
0.406005,-0.508129,0,-0.509794,0,0,0
0.406255,-0.326979,0,-0.327326,0,0,0
0.406505,-0.128802,0,-0.124779,0,0,0
0.406755,0.0715859,0,0.072437,0,0,0
0.407005,0.230501,0,0.228532,0,0,0
0.407255,0.351784,0,0.348703,0,0,0
0.407505,0.417361,0,0.41537,0,0,0
0.407755,0.426543,0,0.430253,0,0,0
0.408005,0.396803,0,0.397707,0,0,0
0.408255,0.361103,0,0.362312,0,0,0
0.408505,0.318353,0,0.321342,0,0,0
0.408755,0.294004,0,0.294845,0,0,0
0.409005,0.288241,0,0.28959,0,0,0
0.409255,0.304982,0,0.308459,0,0,0
0.409505,0.316865,0,0.315434,0,0,0
0.409755,0.314793,0,0.309821,0,0,0
0.410005,0.277269,0,0.278594,0,0,0
0.410255,0.197656,0,0.197821,0,0,0
0.410505,0.0696449,0,0.0702568,0,0,0
0.410755,-0.0984424,0,-0.0941521,0,0,0
0.411005,-0.29066,0,-0.287899,0,0,0
0.411255,-0.464305,0,-0.465145,0,0,0
0.411505,-0.601549,0,-0.604967,0,0,0
