Hz,Magnitude
7.8125,0.00818107
15.625,0.0144127
23.4375,0.00636306
31.25,0.000146579
39.0625,0.000775422
46.875,0.000910095
54.6875,0.000493678
62.5,0.000139577
70.3125,0.000311254
78.125,0.000255824
85.9375,0.00010781
93.75,0.000283703
101.562,0.000207628
109.375,0.000191699
117.188,0.00123856
125,0.000844752
132.812,0.00380722
140.625,0.0620206
148.438,0.172445
156.25,0.116601
164.062,0.0091009
171.875,0.0122246
179.688,0.0220603
187.5,0.0125847
195.312,0.000857251
203.125,0.00128894
210.938,0.0018445
218.75,0.00126457
226.562,0.00060245
234.375,0.00021576
242.188,0.000213949
250,3.67797e-05
257.812,0.000642258
265.625,0.00049138
273.438,0.0002946
281.25,0.00051647
289.062,0.000720566
296.875,0.00307266
304.688,0.029067
312.5,0.101514
320.312,0.0815335
328.125,0.0104203
335.938,0.00144022
343.75,0.0017799
351.562,0.000457632
359.375,0.000597234
367.188,0.000371475
375,0.000138558
382.812,8.70113e-05
390.625,8.62576e-05
398.438,0.000202559
406.25,0.000210417
414.062,5.04074e-05
421.875,0.00022649
429.688,0.000214589
437.5,0.000162684
445.312,0.000356083
453.125,0.000439306
460.938,0.000249414
468.75,0.000813678
476.562,0.00388353
484.375,0.00366828
492.188,0.000531843
500,0.000408986
507.812,0.000192045
515.625,1.91834e-05
523.438,0.000155941
531.25,0.000241343
539.062,0.000185758
546.875,4.04171e-05
554.688,4.67581e-05
562.5,5.85383e-05
570.312,6.83308e-05
578.125,0.000215389
585.938,0.00015995
593.75,6.21446e-05
601.562,0.000200827
609.375,0.00112506
617.188,0.00140985
625,0.000438106
632.812,0.000173987
640.625,0.000650165
648.438,0.000684536
656.25,0.000118178
664.062,0.0001534
671.875,0.000182837
679.688,0.000185771
687.5,0.000142079
695.312,6.37323e-05
703.125,0.000152076
710.938,6.57142e-05
718.75,7.0282e-05
726.562,6.87765e-05
734.375,7.77616e-05
742.188,0.000143254
750,1.46474e-05
757.812,0.000253188
765.625,0.000201361
773.438,0.000787234
781.25,0.00131381
789.062,0.000508311
796.875,0.000210683
804.688,0.000101578
812.5,0.000199515
820.312,0.000213357
828.125,7.42929e-05
835.938,0.00011143
843.75,8.4304e-05
851.562,0.000207921
859.375,0.000260194
867.188,0.000121131
875,4.65386e-05
882.812,9.35953e-05
890.625,3.69053e-05
898.438,6.08287e-05
906.25,0.000113994
914.062,0.0001022
921.875,0.000118778
929.688,0.000123085
937.5,0.000150913
945.312,7.46004e-05
953.125,0.000117805
960.938,0.000101181
968.75,0.00012689
976.562,0.000181322
984.375,4.17395e-05
992.188,5.88543e-05
1000,2.40485e-05
1007.81,2.15193e-05
1015.62,0.000120373
1023.44,0.00017799
1031.25,0.000158366
1039.06,5.43821e-05
1046.88,0.000123915
1054.69,0.000162612
1062.5,0.000177398
1070.31,0.000308607
1078.12,0.000439623
1085.94,0.00029706
1093.75,0.000216232
1101.56,0.00010682
1109.38,7.39734e-05
1117.19,7.32917e-05
1125,0.000115007
1132.81,9.96299e-05
1140.62,0.000223708
1148.44,8.5266e-05
1156.25,0.000153942
1164.06,0.000179287
1171.88,9.36949e-05
1179.69,5.71636e-05
1187.5,0.000140807
1195.31,0.000178792
1203.12,2.18615e-05
1210.94,0.000114143
1218.75,9.86149e-05
1226.56,9.84136e-05
1234.38,0.000117893
1242.19,0.000189578
1250,0.000200082
1257.81,0.000104579
1265.62,7.77571e-05
1273.44,9.6735e-05
1281.25,0.000107874
1289.06,0.000174602
1296.88,0.00012524
1304.69,0.000115495
1312.5,9.77841e-05
1320.31,4.14433e-05
1328.12,3.51393e-05
1335.94,8.32185e-05
1343.75,0.000163608
1351.56,0.000219628
1359.38,0.000329246
1367.19,0.000287268
1375,0.000188724
1382.81,0.000129394
1390.62,0.000172592
1398.44,0.000180865
1406.25,0.000138968
1414.06,9.25065e-05
1421.88,8.59349e-05
1429.69,5.87283e-05
1437.5,8.4119e-05
1445.31,7.8234e-05
1453.12,0.000134212
1460.94,0.000186855
1468.75,0.00011914
1476.56,0.000108068
1484.38,9.50398e-05
1492.19,0.0001934
1500,0.00032659
