Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.400255,0.128306,0,0.123973,0,0,0
0.400505,0.258266,0,0.256249,0,0,0
0.400755,0.429086,0,0.425043,0,0,0
0.401005,0.439127,0,0.443542,0,0,0
0.401255,0.526032,0,0.529005,0,0,0
0.401505,0.549522,0,0.550572,0,0,0
0.401755,0.3604,0,0.358182,0,0,0
0.402005,0.297822,0,0.29886,0,0,0
0.402255,0.33145,0,0.327322,0,0,0
0.402505,0.29052,0,0.289465,0,0,0
0.402755,0.271506,0,0.26884,0,0,0
0.403005,0.240441,0,0.235475,0,0,0
0.403255,0.202418,0,0.200512,0,0,0
0.403505,0.126691,0,0.126619,0,0,0
0.403755,0.13461,0,0.134366,0,0,0
0.404005,-0.0180663,0,-0.0160349,0,0,0
0.404255,-0.0901405,0,-0.0919404,0,0,0
0.404505,-0.333829,0,-0.3384,0,0,0
0.404755,-0.489098,0,-0.493109,0,0,0
0.405005,-0.587495,0,-0.589386,0,0,0
0.405255,-0.605733,0,-0.605214,0,0,0
0.405505,-0.67951,0,-0.679354,0,0,0
0.405755,-0.58131,0,-0.585174,0,0,0
0.406005,-0.56822,0,-0.569885,0,0,0
0.406255,-0.312006,0,-0.312353,0,0,0
0.406505,-0.147273,0,-0.143249,0,0,0
0.406755,0.111415,0,0.112267,0,0,0
0.407005,0.17501,0,0.173041,0,0,0
0.407255,0.354079,0,0.350998,0,0,0
0.407505,0.473304,0,0.471314,0,0,0
0.407755,0.454381,0,0.458091,0,0,0
0.408005,0.359164,0,0.360068,0,0,0
0.408255,0.411223,0,0.412431,0,0,0
0.408505,0.327297,0,0.330286,0,0,0
0.408755,0.297428,0,0.298268,0,0,0
0.409005,0.257455,0,0.258804,0,0,0
0.409255,0.338866,0,0.342343,0,0,0
0.409505,0.321674,0,0.320243,0,0,0
0.409755,0.323638,0,0.318666,0,0,0
0.410005,0.267811,0,0.269135,0,0,0
0.410255,0.218505,0,0.21867,0,0,0
0.410505,0.108352,0,0.108964,0,0,0
0.410755,-0.0705115,0,-0.0662212,0,0,0
0.411005,-0.356133,0,-0.353372,0,0,0
0.411255,-0.479613,0,-0.480453,0,0,0
0.411505,-0.563399,0,-0.566817,0,0,0
0.411755,-0.760698,0,-0.764398,0,0,0
0.412005,-0.65597,0,-0.653732,0,0,0
0.412255,-0.700506,0,-0.699346,0,0,0
0.412505,-0.490302,0,-0.494371,0,0,0
0.412755,-0.354935,0,-0.357587,0,0,0
0.413005,-0.131225,0,-0.134934,0,0,0
0.413255,0.0469942,0,0.0510112,0,0,0
0.413505,0.135885,0,0.138314,0,0,0
0.413755,0.211781,0,0.214303,0,0,0
0.414005,0.318466,0,0.31725,0,0,0
0.414255,0.339347,0,0.33878,0,0,0
0.414505,0.247408,0,0.247679,0,0,0
0.414755,0.294552,0,0.298039,0,0,0
0.415005,0.329695,0,0.325909,0,0,0
0.415255,0.315807,0,0.318955,0,0,0
0.415505,0.290782,0,0.287381,0,0,0
0.415755,0.388807,0,0.386597,0,0,0
0.416005,0.414561,0,0.416732,0,0,0
0.416255,0.452668,0,0.45143,0,0,0
0.416505,0.408717,0,0.40689,0,0,0
0.416755,0.297219,0,0.296219,0,0,0
0.417005,0.0608173,0,0.0642758,0,0,0
0.417255,-0.072389,0,-0.0723111,0,0,0
0.417506,-0.324601,0,-0.320289,0,0,0
0.417756,-0.454599,0,-0.452449,0,0,0
0.418006,-0.549331,0,-0.553609,0,0,0
0.418256,-0.66244,0,-0.664013,0,0,0
0.418506,-0.69608,0,-0.695633,0,0,0
0.418756,-0.552921,0,-0.553364,0,0,0
0.419006,-0.481585,0,-0.480218,0,0,0
0.419256,-0.252665,0,-0.251286,0,0,0
