Hz,Magnitude
7.8125,0.00264913
15.625,0.00286734
23.4375,0.0038577
31.25,0.0042504
39.0625,0.00196488
46.875,0.00175672
54.6875,0.00210246
62.5,0.000831208
70.3125,0.00213371
78.125,0.0043933
85.9375,0.00359424
93.75,0.000906526
101.562,0.00275955
109.375,0.000285756
117.188,0.00690374
125,0.0190041
132.812,0.0224124
140.625,0.0204827
148.438,0.151071
156.25,0.123309
164.062,0.0206606
171.875,0.00463241
179.688,0.00619696
187.5,0.00225124
195.312,0.00571889
203.125,0.00695954
210.938,0.0125802
218.75,0.00248579
226.562,0.00867891
234.375,0.00332335
242.188,0.00559943
250,0.00518507
257.812,0.00648799
265.625,0.00696188
273.438,0.00209123
281.25,0.00192386
289.062,0.00259703
296.875,0.00472936
304.688,0.0228796
312.5,0.0875613
320.312,0.0711981
328.125,0.0110777
335.938,0.00186351
343.75,0.00376928
351.562,0.00535754
359.375,0.00385337
367.188,0.00396581
375,0.00168979
382.812,0.00155809
390.625,0.00229232
398.438,0.000958052
406.25,0.000586454
414.062,0.00267354
421.875,0.00101495
429.688,0.00215901
437.5,0.00210622
445.312,0.00474333
453.125,0.00335927
460.938,0.00118008
468.75,0.000424583
476.562,0.00160391
484.375,0.00174143
492.188,0.00254867
500,0.00246232
507.812,0.00381397
515.625,0.00291411
523.438,0.00224281
531.25,0.0016004
539.062,0.00383243
546.875,0.00317085
554.688,0.00296723
562.5,0.00243788
570.312,0.00185027
578.125,0.00284386
585.938,0.00177704
593.75,0.00190615
601.562,0.00142867
609.375,0.00247725
617.188,0.00448197
625,0.00236205
632.812,0.000618023
640.625,0.000348484
648.438,0.00101152
656.25,0.000965666
664.062,0.00069868
671.875,0.000518407
679.688,0.00135546
687.5,0.00213117
695.312,0.00206386
703.125,0.00149352
710.938,0.00234936
718.75,0.00264721
726.562,0.00306397
734.375,0.00484851
742.188,0.0042889
750,0.00151614
757.812,0.00226043
765.625,0.00173647
773.438,0.00252925
781.25,0.00127396
789.062,0.00223753
796.875,0.00105139
804.688,0.000903896
812.5,0.00135766
820.312,0.00222522
828.125,0.00113754
835.938,0.00251679
843.75,0.0026404
851.562,0.00232336
859.375,0.00253096
867.188,0.00198284
875,0.000514561
882.812,0.00228879
890.625,0.00161694
898.438,0.0027541
906.25,0.00421976
914.062,0.00171427
921.875,0.000273441
929.688,0.000844362
937.5,0.000950234
945.312,0.00121168
953.125,0.00205314
960.938,0.00243297
968.75,0.00231769
976.562,0.000938651
984.375,0.000377633
992.188,0.00055697
1000,0.00174551
1007.81,0.00189371
1015.62,0.000416908
1023.44,0.00189452
1031.25,0.000259449
1039.06,0.00119144
1046.88,0.00345114
1054.69,0.00207267
1062.5,0.000841233
1070.31,0.00052386
1078.12,0.00150729
1085.94,0.000969902
1093.75,0.00119985
1101.56,0.00382035
1109.38,0.00362523
1117.19,0.00168822
1125,0.00179178
1132.81,0.00259626
1140.62,0.00031637
1148.44,0.00300381
1156.25,0.00230304
1164.06,0.00107216
1171.88,0.000645388
1179.69,0.00079638
1187.5,0.00164881
1195.31,0.000851086
1203.12,0.00204686
1210.94,0.000541254
1218.75,0.00123577
1226.56,0.00219897
1234.38,0.00264052
1242.19,0.00219736
1250,0.00281415
1257.81,0.00172287
1265.62,0.00311736
1273.44,0.00373248
1281.25,0.00234261
1289.06,0.0016009
1296.88,0.00309583
1304.69,0.00205689
1312.5,0.00113919
1320.31,0.00167908
1328.12,0.00263356
1335.94,0.00345387
1343.75,0.00224673
1351.56,0.000568581
1359.38,0.00265102
1367.19,0.00284373
1375,0.00151631
1382.81,0.00156243
1390.62,0.00183361
1398.44,0.00319737
1406.25,0.00232486
1414.06,0.00213779
1421.88,0.00360312
1429.69,0.00323489
1437.5,0.00350927
1445.31,0.00361532
1453.12,0.00338375
1460.94,0.00161689
1468.75,0.000745491
1476.56,0.000692077
1484.38,0.00152905
1492.19,0.000614598
1500,0.00146475
1507.81,0.00121127
1515.62,0.00232514
1523.44,0.00297126
1531.25,0.0028939
1539.06,0.00286058
1546.88,0.00314607
1554.69,0.00267355
1562.5,0.000329207
1570.31,0.00110632
1578.12,0.00132245
1585.94,0.00148378
1593.75,0.000349309
1601.56,0.00138004
1609.38,0.0030127
1617.19,0.00324045
1625,0.00295051
1632.81,0.0022625
1640.62,0.000836309
1648.44,0.000997287
1656.25,0.00371371
1664.06,0.00464818
1671.88,0.00324086
1679.69,0.00191828
1687.5,0.00247
1695.31,0.00272251
1703.12,0.00202663
1710.94,0.00346893
1718.75,0.00154512
1726.56,0.00197626
1734.38,0.00126126
1742.19,0.00334483
1750,0.00319986
1757.81,0.00252005
1765.62,0.00267845
1773.44,0.00155373
1781.25,0.00285352
1789.06,0.00197498
1796.88,0.000607754
1804.69,0.000862212
1812.5,0.00258489
1820.31,0.00284379
1828.12,0.00222579
1835.94,0.00333098
1843.75,0.0039177
1851.56,0.00222287
1859.38,0.00233689
1867.19,0.000763468
1875,0.00309814
1882.81,0.00249164
1890.62,0.000664309
1898.44,0.000839365
1906.25,0.000956991
1914.06,0.00192324
1921.88,0.0023159
1929.69,0.00205343
1937.5,0.00318586
1945.31,0.00244139
1953.12,0.00286627
1960.94,0.00125442
1968.75,0.00158974
1976.56,0.00225427
1984.38,0.00324564
1992.19,0.00147893
